-,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,
Amadora,9.296021285846994,8.69567030395854,8.7502680661092,8.370667509592304,8.687946021305681,8.447377064446608,
Cascais,9.844717028120865,9.93733270592268,10.099363284073005,10.202700324263882,10.192786591209467,10.277447313852747,
Lisboa,10.862443618246708,10.910280484034885,11.309618968631108,11.518141129117865,11.509137181718277,11.664285125894402,
Loures,8.200773067964318,7.380632537103909,7.379756074124243,7.164087719776427,7.543416101811086,7.396861382311102,
Mafra,7.019930782808688,6.38135448465464,5.718723636922507,6.1572465724873915,6.355027107785772,6.098509356938857,
Odivelas,8.515638357265253,7.979864476737842,7.817009038295284,7.784880871442061,7.997535361107067,8.346604363730632,
Oeiras,9.98785230541196,10.179741034205795,9.807753001370806,10.4800810149035,10.46353628378662,10.777583859427711,
Sintra,7.328068811775471,6.764523918416001,7.029191864082939,7.112989764905677,7.299493991316271,7.4394616129653315,
VilaFrancaDeXira,6.62052870942934,6.114326868670042,5.762781896731512,6.077360619131175,6.068028741216473,6.284979153400435,
Alcochete,5.559376782631371,5.246281909898927,5.134592874994627,5.713146884821673,5.848146855816051,5.857196635231783,
Almada,9.002122359872454,8.90037821431665,8.684485836280865,8.857397082692222,9.253508303870873,9.405488407313051,
Barreiro,6.8968466642981765,6.948628409918604,6.990734127553711,6.916285719129538,7.126079928897978,7.397812300238738,
Moita,5.46499620232291,5.241647244367281,5.609565238045677,5.990041066152466,6.131450338666179,6.2102855601749685,
Montijo,6.135217792118232,5.5686713870137945,5.984120230510957,5.899528125650957,6.295139757364805,6.501923209795385,
Palmela,6.537021143538192,6.033172890348947,7.069135169842721,7.156170866796447,7.321147634108755,7.140852068605595,
Seixal,6.578194956978625,6.151645192502752,6.762212274989339,6.792731864180851,6.844573675270889,7.228093221077078,
Sesimbra,4.944557107222755,5.399318162867179,5.053677835441396,5.283735948121768,5.887694771248035,5.771842140302467,
Setubal,6.769164894194224,6.329250765411098,5.998739304548186,5.922844935076417,6.03391056028613,6.448484938577715,
