-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;
Amadora;0;1669.7480572526006;1603.3692241314;1555.7475548054733;1479.50044477626;1450.0583859252126;1406.9902018048479;2857.298646158596;
Cascais;2665.08;2660.4327389838595;2582.8616110149096;2484.0287173999614;2389.003949278675;2343.7359992390493;2287.389649906517;1877.2582672424478;
Lisboa;3385.5977872462486;3225.155583855114;2909.252534154786;2915.8110542843274;2892.315400518237;2729.9126647185794;2778.436327145568;2436.18998036269;
Loures;1814.023894915295;1688.8684378183468;1621.7921886924817;1538.215405611343;1483.365410769603;1448.4260376271923;1408.4012800086052;1383.866237368796;
Mafra;1610.4255973741513;1608.9189471875334;1498.7431010512232;1469.9322982236765;1454.160571107965;1381.8512839973882;1338.4739320611332;1299.15674958634;
Odivelas;2040.9688144367078;1974.9551491440368;1851.633580153105;1783.7829401873912;1736.060875007651;1691.6055710906874;1645.399532105974;1624.6034634199007;
Oeiras;2460.15;2485.4407852119443;2406.6827299465504;2774.154508245162;2211.8747162401396;2175.356094947213;2098.149184050825;2118.8292341803444;
Sintra;1692.812077149454;1651.7650012215786;1500.6435866204604;1505.5840645530468;1503.053890127903;1462.5865779674823;2104.5486326254963;2433.1792411920987;
VilaFrancaDeXira;1410.968519126109;1349.8564980543686;1321.696999303319;1295.2342411107363;1272.4514247917118;1232.2170183146327;1242.8608643130972;1275.9225249846934;
Alcochete;1409.76;1466.9805348312661;1340.6677327470238;1318.5579075379142;1274.9616740644121;1464.9442182902947;1444.4095300026856;1512.0;
Almada;1753.0;1715.0085431839786;1701.893240369925;1601.3957348388224;1569.52795971553;1551.7777648492593;1535.2817817549017;1872.067396907456;
Barreiro;1244.0;1234.4800232938371;1176.8509040308043;1136.4154558696491;1108.2317843563535;1069.9125931737624;1057.536736224934;1002.2649607269095;
Moita;1004.9135369158721;965.8942280395027;937.897435797338;930.2552670481036;881.9081804448355;855.7146255774433;830.2990454831678;815.0539549111634;
Montijo;1377.2726209300213;1336.8564000000001;1338.3989641484554;1399.7153682890462;1380.429399870007;1370.52605541609;1149.774515775676;1249.7495800307513;
Palmela;1361.9711358581844;1333.8635790988128;1270.4368716933132;1236.9697894790997;1207.4608356972758;1172.955797174928;1133.1780074103958;1099.5214874122996;
Seixal;1588.1706573909837;1493.1909330230687;1435.7951182532206;1394.2428211553715;1356.7137644684349;1556.5673112420714;1504.7109886274907;1480.1397692703836;
Sesimbra;1619.0774624760752;1553.9859710638611;1535.6193319511776;1514.2800519567286;1469.7363449293193;1397.9803622821746;1370.3215593655004;1361.1056488234537;
Setubal;1654.9768925414935;2173.5984956394154;2208.4596937978486;2202.798925882048;2134.77886954059;2271.21570389115;2422.139666983474;2387.9885423881933;
