-;2021Q1;2021Q2;2021Q3;2021Q4;
Amadora;0;0;1071.0880726881394;1039.2756858412288;
Cascais;0;0;5600.658976704;0;
Lisboa;0;0;1938.6730998853416;3702.595026120894;
Loures;0;0;2358.151006936032;1108.1868501777105;
Mafra;0;0;1821.3551633694779;1383.914037809106;
Odivelas;0;1542.946182624;3253.998307579549;3123.3882634502397;
Oeiras;0;0;3452.1064342056593;1530.8722033330848;
Sintra;1672.495648896222;1412.3240999999998;1390.309413351804;1912.6076009716924;
VilaFrancaDeXira;1251.4774463022682;1341.923517;1529.0097911622768;0;
Alcochete;0;0;0;0;
Almada;0;0;0;0;
Barreiro;0;0;0;1309.7984715937514;
Moita;1065.7107515541393;1154.65581;0;0;
Montijo;0;0;1393.2512820513682;0;
Palmela;845.728;0;0;772.5871146798445;
Seixal;2285.269314471467;2468.9751722957335;0;0;
Sesimbra;0;2065.9716000000003;1157.57665256475;1123.1387442279226;
Setubal;1195.6599999999999;0;1476.7050342527998;0;
