-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,0,0,0,0,
Cascais,0,0,8.20931836027019,0,
Lisboa,13.44537846225374,0,0,8.790694270211814,
Loures,8.41717500842176,5.079481051428033,0,0,
Mafra,0,0,0,2.9052506010376544,
Odivelas,0,0,7.2186509510438,6.024339789485738,
Oeiras,7.478436444834893,6.798521693932402,0,7.955876053353931,
Sintra,5.128156129204761,4.534490195405199,0,0,
VilaFrancaDeXira,0,7.297311266429022,0,0,
Alcochete,0,0,0,0,
Almada,8.621625038117093,7.314946730746512,0,0,
Barreiro,5.098527737973727,5.143029856127347,0,0,
Moita,5.440896443975887,3.414313369310574,0,0,
Montijo,3.9869277158369854,4.471783267004211,0,0,
Palmela,0,0,0,0,
Seixal,6.4519403992904545,0,4.209124646070166,6.380636518831646,
Sesimbra,0,0,0,0,
Setubal,0,0,0,0,
