-,2021S1,2021S2,
Amadora,0,0,
Cascais,0,8.20931836027019,
Lisboa,13.44537846225374,8.790694270211814,
Loures,6.748328029924896,0,
Mafra,0,2.9052506010376544,
Odivelas,0,6.621495370264769,
Oeiras,7.1384790693836475,7.955876053353931,
Sintra,4.8313231623049795,0,
VilaFrancaDeXira,7.297311266429022,0,
Alcochete,0,0,
Almada,8.048822243470024,0,
Barreiro,5.120778797050537,0,
Moita,4.027320728032217,0,
Montijo,4.229355491420598,0,
Palmela,0,0,
Seixal,6.4519403992904545,5.294880582450906,
Sesimbra,0,0,
Setubal,0,0,
