-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,
Amadora,0,0,0,0,0,0,0,0,
Cascais,0,0,0,0,0,0,0,0,
Lisboa,0,8.729976720718248,10.589710144634692,8.991236209933245,9.240356567487218,13.081169138318813,12.603891395302995,10.859701232359651,
Loures,0,0,0,0,0,0,0,0,
Mafra,0,0,0,0,0,0,0,0,
Odivelas,0,0,0,0,0,0,0,0,
Oeiras,0,0,0,0,0,0,0,0,
Sintra,0,0,0,0,0,0,0,0,
VilaFrancaDeXira,0,0,0,0,0,0,0,0,
Alcochete,0,0,0,0,0,0,0,0,
Almada,0,0,0,0,0,0,0,0,
Barreiro,0,0,0,0,0,0,0,0,
Moita,0,0,0,0,0,0,0,0,
Montijo,0,0,0,0,0,0,0,0,
Palmela,0,0,0,0,0,0,0,0,
Seixal,0,0,0,0,0,0,0,0,
Sesimbra,0,0,0,0,0,0,0,0,
Setubal,0,0,0,0,0,0,0,0,
