-,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,
Amadora,10.1803398060634,7.29535851152572,6.8201341826040185,5.768081853191767,5.700529706145328,10.042601396606617,
Cascais,12.658040402168194,9.324451955744063,9.654634961045106,10.581410343721675,15.618433753825089,15.564681039703803,
Lisboa,13.68537846238455,15.082614225192609,19.411413026785713,21.033019709803963,22.437915656214876,23.260371635492696,
Loures,9.55332524596329,6.717942345004755,6.215061083071145,5.277444329120616,6.496384831268904,10.0123237526978,
Mafra,7.965098269189616,5.231002000088962,4.81415457419194,11.490587299978714,12.56412633528646,13.823093802257922,
Odivelas,10.14026322711351,6.715353572032489,5.647407336151215,6.456306779576124,11.486784238687088,11.940236793924864,
Oeiras,11.854913492024078,8.671989921179733,7.667591742504166,7.021370154633288,8.844993975627915,12.649211918496071,
Sintra,8.636865381314418,5.664565505753301,5.266805372133544,4.921959570829125,4.642115301295593,7.43511406562985,
VilaFrancaDeXira,8.393327914858117,6.3628528993365485,4.906446197850661,4.524803620399896,4.572952448497949,7.567257652684885,
Alcochete,7.4898304689806965,4.906202064450247,8.075317616572912,4.511115824688867,4.016615281807331,7.761492366433138,
Almada,9.788691142075058,7.089711374757048,7.007084322273539,6.107321773307982,6.00590696859447,9.472407220608433,
Barreiro,7.6308811309993505,5.575000802479465,4.889410785299978,4.9214808242550045,4.362031158447447,4.461107377426208,
Moita,6.1737340078608085,4.839378350984155,4.155633423123664,3.665359209626665,3.8749479879968156,3.384291776920508,
Montijo,7.713188294469848,5.160058088859,4.8266932443340975,5.5867010782611715,5.700517364978127,9.23307508189076,
Palmela,7.264579190389155,4.681667578517152,4.414825190524405,5.450748534181557,6.031087526721584,9.635801570742084,
Seixal,8.200325965915246,5.651523264678477,4.971892013540314,6.352801001086778,7.066330354335335,12.853617396188449,
Sesimbra,7.068423777747124,4.65327210097419,5.048489465578634,8.351269396433425,13.578069297132153,8.221342872753144,
Setubal,8.092209367691094,5.9206125835780705,4.825512421173993,4.516063821569707,6.824978598082402,7.3647152386612955,
