-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Amadora,8.770242584248116,9.648644766558576,7.458931223619135,8.277744979733649,11.703169485322684,11.423798341413114,7.712208095991806,9.306584543609794,5.498613410369896,5.715749775372859,7.563691814219079,11.433529642294008,9.193192554246629,7.084424509036271,7.66694112402912,11.4188054259926,6.294061365992243,6.151412308416264,5.931581977238099,0,0,0,11.521722082166928,0,0,0,6.25273155849197,0,0,0,7.336820630399986,9.668625978291896,0,0,0,7.424125458989709,11.524050334309978,9.225067363112998,9.741625956399254,10.12102166332177,
Cascais,10.399863144062977,11.844517792204226,10.92129835568469,9.429550706845525,11.110546530848485,9.567737661739269,9.053675656881513,9.146997859191023,8.319197318479722,12.62753018413038,9.504666536464466,8.07187084999559,0,0,0,0,0,0,0,16.075969129646374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.226433045141476,0,12.792554181714216,0,0,
Lisboa,9.072198249474738,8.949662910798121,8.763807746148917,8.862857158274917,8.590893671075582,9.123209096422135,9.4908213690117,8.51804725520115,8.819526311875528,8.863510506114034,8.154633303583621,7.859048330843289,8.330453711834648,7.950627991243293,7.625496501185727,7.157806409766733,6.811563620105319,6.7171724326173115,6.093637763469873,6.698170211296073,5.962726932951388,5.8188399361525756,6.227679489488838,5.833493776179748,5.908837950450765,5.367427957693465,4.956121182441203,4.517137243197094,4.817512178868476,5.226233778308864,4.338236177015323,4.138953853984019,4.379191841440875,3.701483690100117,3.795088645639266,4.095934814768353,3.6432482070099246,3.81749242974104,3.4493364802645927,3.3759158102900786,
Loures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mafra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Odivelas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sintra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
VilaFrancaDeXira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alcochete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Almada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barreiro,4.748115892248905,0,0,0,0,0,0,0,0,0,0,0,0,6.347024303441644,0,0,0,0,0,0,0,0,0,0,0,0,0,10.182473007501196,0,0,0,0,0,0,10.802016639190299,8.307230029552043,0,10.148949647175481,10.384294252060075,0,
Moita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.104879557061029,0,0,0,0,0,6.981637115217665,9.703004331989186,8.92772687003827,7.518902751888685,9.227798150770429,7.524326684640275,0,0,
Montijo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Palmela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seixal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sesimbra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Setubal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
