-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,1768,1823,1871,1862,
Cascais,2782,2798,2848,2851,
Lisboa,3522,3675,3645,3643,
Loures,1944,1960,1972,1880,
Mafra,1667,1712,1741,1734,
Odivelas,2077,2031,2021,2088,
Oeiras,2505,2552,2521,2433,
Sintra,1476,1510,1505,1442,
VilaFrancaDeXira,1526,1518,1524,1614,
Alcochete,1598,1726,1832,2296,
Almada,1835,1891,1889,1982,
Barreiro,1181,1261,1403,1319,
Moita,1010,1030,1089,1161,
Montijo,1332,1457,1497,1614,
Palmela,1214,1359,1473,1713,
Seixal,1422,1572,1619,1830,
Sesimbra,1465,1493,1583,1521,
Setubal,1384,1454,1444,1525,
