-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;0;1619.56487286;1580.883854535371;0;0;
Cascais;0;2585.92445892;2560.0652143307993;2434.596545923702;2410.2505804644634;
Lisboa;3025.7669582335343;2990.498205173115;2867.2350004485;2754.2545011631773;2695.489370521594;
Loures;1667.0;1633.8267;1904.293331342175;1727.4898209686144;1772.7730008076821;
Mafra;1577.0700000000002;1530.2294439300001;1507.3525137432466;1455.2329752414398;1426.2738390341353;
Odivelas;1959.3341208385145;1905.4071097051556;1843.9697067560999;1789.201962495737;1880.4087485498285;
Oeiras;2472.575;2460.15;2339.5781712614853;2286.2123440118444;2213.790984023746;
Sintra;1714.5172353934502;1520.3563005571925;1456.77415058729;1488.0684849151448;1468.0134477128029;
VilaFrancaDeXira;1473.903030490262;1490.7051314589428;1503.5084625826385;1370.3642142853369;1231.0900996057346;
Alcochete;0;0;0;0;0;
Almada;1735.47;1714.386540238433;1633.9105548809532;1601.3957348388224;1588.4699387220114;
Barreiro;1244.0;0;1374.3055347159006;1327.651358073194;0;
Moita;1053.2908867564531;960.5715075;1059.8396958991418;0;1003.4427252363207;
Montijo;1453.041380771844;1418.5149786299567;1390.2865305552205;1412.5778916501567;1451.098718445791;
Palmela;1287.0;1255.0817565;1223.9241942212998;1175.7560761325321;1140.777329898658;
Seixal;1496.0969974029874;1453.3125298957657;1393.3906211134802;1353.100122634095;1325.2774892625578;
Sesimbra;1574.0301631405814;0;1494.0053683928998;1521.9274152276107;1521.3202844146501;
Setubal;1420.0904664143636;1267.7593500000003;1236.28706487;1175.6966975114458;1152.300333230968;
