Step,Birth Rate,Mortality Rate,Divorces,
1,0.0,0.0,0.0,
2,0.0,0.0,0.0,
3,0.0,0.0,0.1996007984031936,
4,0.0,0.0,0.0,
5,0.0,0.0,0.0,
6,0.0,0.0,0.1986491855383393,
7,0.0,0.0,0.198294665873488,
8,0.19798059790140565,0.0,0.0,
9,0.19778481012658228,0.0,0.0,
10,0.0,0.0,0.0,
11,0.19751135690302193,0.0,0.0,
12,0.5918327086210299,0.0,0.0,
13,0.1966955153422502,0.0,0.1966955153422502,
14,0.0,0.0,0.5893909626719057,
15,0.0,0.0,0.0,
16,0.19619383951343927,0.0,0.19619383951343927,
17,0.0,0.19584802193497844,0.19584802193497844,
18,0.0,0.0,0.19554165037152912,
19,0.0,0.0,0.0,
20,0.0,0.0,0.19527436047646946,
21,0.195160031225605,0.0,0.0,
22,0.0,0.0,0.3896356906292616,
23,0.0,0.19466614755693987,0.0,
24,0.19443904335990667,0.0,0.0,
25,0.0,0.0,0.38842493688094776,
