-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,10.018968886011347,9.400835470634888,9.109511371621707,9.073219956547502,10.954040291516401,9.563205788419301,8.71583903153207,8.786092632380953,8.851190468048099,9.544689461444792,9.403786627478834,10.30933039279514,
Cascais,11.999391999785402,11.718473602922629,12.24448757565135,11.758545743389694,11.09854365058044,11.510209060054292,11.15373982701649,11.126425559701493,12.356119759178767,11.804429221216843,11.903447928103915,11.049312967490923,
Lisboa,12.53274375638069,11.3806937040818,11.6125235739623,11.8404338691604,11.692451642824167,14.217772580569553,10.3666949033485,12.119015446487131,12.20917605612202,12.121239916295782,12.058960913322679,11.552008749560851,
Loures,9.002814813040654,8.206642683026152,8.51898926947796,8.568773273328135,8.217537198710069,7.915671733129104,8.048622118964309,7.41565845191428,6.430398142759376,7.285172384219686,7.115560310517655,7.0411505822822935,
Mafra,8.203871216551072,8.071383640112218,7.36830029443235,7.5933979537397684,6.851844592191105,6.602610116704678,8.468763208880091,7.479989200043201,9.026707038328482,9.314083815242297,6.222046187866671,8.78341899141643,
Odivelas,9.508890954153198,9.324375135401016,8.947870169977703,8.563952449772096,8.400213056782594,8.725718044292536,9.384327038383839,8.290755813501097,8.452696424186657,8.063576008941952,7.777393359512107,7.711741441811268,
Oeiras,9.111638061688222,8.47030531406358,7.4845532520181095,7.185940009887119,8.044669653674308,6.83937579636193,9.908883658791938,10.126834472287804,6.706200282469838,7.5842681886308405,8.425158598374365,8.101585171037435,
Sintra,8.696607532865558,7.719897214846269,7.6948197769001965,8.028039226162186,8.305984627840761,8.854538703598159,7.722244629163804,8.188068099274595,8.491698688649281,7.447231376324502,6.9925662337691765,6.3159388435083725,
VilaFrancaDeXira,8.165874734923984,7.480809797662278,7.466845511585492,7.43484792469855,6.420350512468317,7.587222945962842,7.4702692023431725,6.3731127811381105,6.322485671785844,7.257014431457622,6.937759895534103,6.679497498654696,
Alcochete,7.178544508506221,6.680695937951514,6.665098656567387,8.638360814595806,8.49797769294101,5.946189460931588,5.326753064524878,5.863918439372454,6.973637017905144,8.22764211728777,0,7.473824707204013,
Almada,9.814789255129234,9.365994623655915,9.768120559946546,8.658061788466272,9.277110579183244,11.452079469696969,8.991878925205505,8.721888578694166,8.97453637343731,9.030302706206582,8.222460433239117,8.085273900410165,
Barreiro,8.96784414481107,7.556138880888721,7.108162427466335,7.791726855791372,7.408813998498579,7.21136595040837,7.792538355059029,7.593055413322643,6.134949281489002,6.717101352763065,6.891243033879693,6.8235737600210875,
Moita,7.008994931030531,6.776789749523252,6.527682077173987,5.965630412986698,7.116748679613932,6.666362597045854,5.639527717594646,5.6572181619583795,5.172897765880247,5.915213586509387,5.491839851396868,6.172348119285858,
Montijo,6.936512685598078,6.9768927278561765,6.430934232910031,6.734541307055484,7.0410642255320255,6.4717098343938195,6.0167805092090845,6.712499719168498,6.353278296246227,5.363264961963195,6.475745688393435,5.989134032000248,
Palmela,6.466851526814813,6.687688827600001,6.798330081972001,6.644594126537513,7.204705054244826,5.0563859050407025,8.763998034417202,7.1257983979086745,6.091575301610657,8.513943694018872,6.553811047835422,6.037323400675507,
Seixal,7.816280846767269,7.6931979892529405,7.894516624642938,7.678343151273607,7.74001557245413,7.436229042642716,7.373644109576777,7.0904607675936955,7.362718285325855,6.493308125591178,7.0478713649978335,6.781630992831806,
Sesimbra,6.189024633698592,7.216677831007889,5.719419956582838,7.516169426031259,8.55511092431799,4.352504274074881,5.867468646269241,5.976660803686462,5.3119781303517435,6.427591893440864,8.069848122241147,7.496177303316086,
Setubal,7.894783833484555,7.068684647423725,6.872034381572905,7.511910452447874,7.68221670870844,7.23403019393638,6.991708023203642,6.541543208616879,7.589290530093625,7.875335816158142,5.908769214189465,5.935201987778347,
