-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1755.9563341737526,1747.134079429976,1818.6055713076996,1905.4745261757657,1932.250962497643,2109.3627456242784,2084.4356385205183,2106.8635382611615,2632.2795077665214,2186.5059900014635,2615.7764295992138,2863.886816365483,
Cascais,2799.274756363626,3059.008883078919,3038.693390051607,3059.102806642184,3107.649066277433,3034.4410282545227,3346.7247511067485,3360.6623480035187,3275.3610303335927,2892.444468507514,3332.1850956362096,3497.713881056152,
Lisboa,3511.293829383312,3644.931912329153,3627.5448727200296,3714.3914666870446,3736.0301286164745,3045.0009809248577,3972.642385425637,4370.241335505785,3319.7739547689753,3815.063496498859,4208.712090788633,4138.953381812303,
Loures,1866.6289997985295,1874.0284968965418,1889.2649209150418,1944.059375874864,1968.7884389051808,2027.7543006218975,2258.789158896036,2199.980080033687,2110.953127727074,2205.1747205343954,2355.7214549110295,2563.7641744583984,
Mafra,1507.1829108304516,1682.314300705289,1652.1492398159996,1819.790209230061,2063.8280616974193,2293.564978949584,2350.612186842294,2345.235956500612,2619.7633873599952,2075.1523409153797,2361.1409704512776,2708.0046009596317,
Odivelas,2045.011232840247,2122.889515234118,2193.267743754933,2243.294715343837,2451.48251509924,2345.26642560879,2447.1525749176003,2559.00741021915,2692.8418676512474,2651.1631559506445,2778.0519461355198,2706.247652829491,
Oeiras,2542.6058007518673,2376.591044434511,2453.046780907088,2481.254155993123,2572.6424628547843,2538.1160669630463,2881.221405743309,2752.708767403845,3186.8146939348653,2734.7128521035424,3285.338970206071,2751.8449783667024,
Sintra,1453.5535660367602,1487.8059016315835,1457.5502791874744,1534.2280402629788,1590.7871594085111,1745.434237291022,1722.7258328226233,1887.3271136399865,2350.2164640449837,2410.7013326444253,2430.87504855034,2163.542910681692,
VilaFrancaDeXira,1445.227144170533,1470.7110867994356,1494.6057475542261,1489.418431140372,1809.0743710743193,1979.3827754472684,1633.5032148762853,2102.278869918415,2145.2294064930534,2212.0939114171847,2026.4110348809832,2370.3174126508793,
Alcochete,1896.8896280048298,1699.1134470251109,1701.5305586579798,2090.0747232648246,2785.045215899795,2451.597067261813,2389.6049302436595,2783.0175170578245,2464.6276226917316,2673.8263018116236,2373.7331922664403,3459.524234806585,
Almada,1788.9507859705834,1783.0928080751828,1646.6282803909585,1773.8597859501608,1837.7490917428631,1988.410969533691,2023.9306558502403,2308.8366265247537,2129.227368697846,2242.9429127337407,2188.759908090061,2327.638802168673,
Barreiro,1138.9092725918651,1081.5482384218199,1107.76336250389,1221.8131285876561,1087.994734393537,1069.1449968338952,1510.1291589309135,1534.1133275374345,1612.532997210367,1266.1463290238355,2068.393595633566,1540.6424114364604,
Moita,998.985103655588,1007.2353815727755,1001.7321766178019,1091.530889817687,1322.1077246999423,1343.8467836041796,1352.0284784775852,1239.5592939374653,951.5303865927333,1461.3033285192037,2235.5958242482493,1241.2186976843338,
Montijo,1383.7893888449476,1474.32276546802,1568.628642687956,1538.3326408914318,1783.1381340995788,1733.4550641468122,1920.8274911118833,1995.3075393168995,1863.8386678643915,2010.484036687807,2136.3665982387274,2064.8144107601843,
Palmela,1160.6956017455227,1235.09687694556,1242.7291170190238,1320.8839398104915,1658.6727216581744,1648.0316929999137,1676.8802864427057,1813.2171018124254,1972.2908624726504,1848.4020196549059,1923.219020853921,1913.62085984376,
Seixal,1507.246929031028,1557.7790884138287,1600.2703724760618,1664.8599935941588,1879.3312629914572,1972.9057335986804,2160.002483156768,2285.9981090868523,2336.7900816211886,2540.7385612512317,2722.9163191557172,2642.584164138797,
Sesimbra,1645.554675692407,1716.520047959828,1813.3798500244645,1921.3980775171099,1903.8537663838938,1980.0552674114012,2113.2383701965755,2188.0832302600725,2141.356303771775,2273.2076204655714,2396.143837182287,2220.1009463810888,
Setubal,1387.340849932284,1404.5800043203133,1381.9138180992063,1525.1591004354384,1785.9660444314852,1821.105900457019,1840.637306031462,1677.1302554933766,2014.8197021156127,2127.2163983760943,1469.2520661221342,2372.2276925241317,
