-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,602,195,68,48,20,30,18,23,17,16,14,12,
Cascais,378,162,68,42,13,14,12,9,10,6,8,10,
Lisboa,1036,394,145,86,55,44,24,18,14,17,15,22,
Loures,468,191,64,25,25,25,19,27,12,12,11,6,
Mafra,150,60,16,14,2,4,8,4,4,2,4,1,
Odivelas,283,137,49,27,11,18,15,13,10,10,11,9,
Oeiras,332,144,60,33,18,17,22,11,12,7,15,10,
Sintra,826,310,100,30,43,38,35,25,13,15,15,18,
VilaFrancaDeXira,277,112,36,15,8,14,13,13,8,7,5,2,
Alcochete,26,15,9,2,1,1,2,0,0,0,1,0,
Almada,471,160,63,21,24,23,22,23,10,15,5,8,
Barreiro,229,88,31,13,6,7,9,0,9,3,2,8,
Moita,184,64,20,8,2,7,2,6,6,4,4,0,
Montijo,124,37,17,5,6,3,4,4,0,2,1,1,
Palmela,105,47,9,5,3,6,0,4,1,0,2,1,
Seixal,256,116,31,27,12,8,10,15,15,7,7,16,
Sesimbra,75,26,12,8,2,2,1,2,2,2,2,2,
Setubal,266,102,30,12,8,5,7,12,9,6,5,5,
