-;2021Q1;
Amadora;1962.9493543442745;
Cascais;6432.28519391959;
Lisboa;7505.944487400742;
Loures;2921.264125998411;
Mafra;3642.7311132913856;
Odivelas;4524.902472644257;
Oeiras;2681.2720211415244;
Sintra;2162.5945230764064;
VilaFrancaDeXira;3763.5375767551295;
Alcochete;1564.3826181352129;
Almada;1512.4579632137552;
Barreiro;1258.2548376129862;
Moita;1683.3125608902562;
Montijo;1508.0902418600758;
Palmela;1176.355429825507;
Seixal;1517.7634112975986;
Sesimbra;2015.9403169535576;
Setubal;1988.433910004503;
