-,2021Q1,
Amadora,1801.249277671835,
Cascais,2441.9742191756186,
Lisboa,3178.9334093187917,
Loures,1665.8571579593527,
Mafra,1669.2161615994553,
Odivelas,1957.1644316768013,
Oeiras,2570.3274889728295,
Sintra,1441.7533713075577,
VilaFrancaDeXira,1395.2200649492665,
Alcochete,1634.5146867402473,
Almada,1927.9800681738907,
Barreiro,1185.5465665664701,
Moita,966.6486061610462,
Montijo,1436.795169052325,
Palmela,1277.7430967979356,
Seixal,1435.0033194739303,
Sesimbra,1521.6498602385539,
Setubal,1359.8198775079816,
