-,2021Q1,
Amadora,11.68868353806413,
Cascais,12.954176537037725,
Lisboa,13.749049368069644,
Loures,9.261442638595362,
Mafra,8.815246997664705,
Odivelas,11.041020765942541,
Oeiras,12.024568264027454,
Sintra,9.748724654980963,
VilaFrancaDeXira,8.649698693015699,
Alcochete,5.92596376618973,
Almada,9.998912975943623,
Barreiro,8.472401131831843,
Moita,6.853476441165688,
Montijo,7.675693815489625,
Palmela,6.115039039533579,
Seixal,9.53338505814372,
Sesimbra,9.246250665055143,
Setubal,7.720001574342251,
