-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,
Amadora,9.274906153708244,9.177903329406295,8.753768507523032,8.246990952225634,8.955646749677486,8.213317851767865,8.861398509000612,8.721210994879417,7.471322843811738,8.419413045229474,8.195663773652802,6.992201870091229,7.247182821813005,6.046803161389013,7.795182718747742,7.8239046021271035,
Cascais,11.57844288504839,11.48457451885056,12.245910747384855,11.36754971580027,11.45554219042194,9.70961329842529,11.254588465118562,11.159908610353773,9.31223682441333,11.079398667376424,9.875626266198829,11.507436026024317,11.512743875909088,12.0082720084852,11.101493134865873,14.383458303839424,
Lisboa,12.47280478329033,14.352976195421599,12.567930664435377,13.358999227107358,11.709656670003685,13.73113343793797,11.613255609012906,12.033951944548685,11.075069137698451,11.18927661668378,11.10129381439975,11.474115226593579,10.73018513682789,11.24429670123963,12.384531061978766,11.580459144283143,
Loures,8.114294496087945,8.172375266455058,7.723095485508956,7.229455471248764,7.12488280859662,7.331604809715374,7.511260019323669,6.938667342991975,6.840505684489018,6.566148364986067,6.156029321409206,7.333770582089168,6.992731732039253,5.330549198130554,6.344753093375398,6.373594246066123,
Mafra,7.056848792065332,5.302717402733908,5.595995917108686,5.9847042139767685,6.696220904677027,6.448600575164148,4.676464706405929,4.8403614545702665,5.746811652369015,7.142210862638625,7.131957284836182,8.22844874596591,7.439206532804938,9.891574398083408,5.22224962571606,7.05971832337831,
Odivelas,8.927098860389634,8.3530835420373,8.61472779817548,8.264518015446491,7.3253558373468675,7.156111609568798,8.75948179273902,7.589291486900991,8.318395074341993,8.24871237987825,7.682411464354337,7.660643834297089,8.81341384594225,7.254107412356137,7.206988640656019,6.600524592318291,
Oeiras,8.053586913223924,7.423424679924331,7.5973576965258625,6.555594341774655,6.501872385008394,5.521612690230668,6.7979228795651805,6.9761869989411895,5.832767707725132,7.602824382618009,6.498347000621011,6.355648522723486,4.6620547186467025,8.260270811100423,11.596030067965831,8.143261474005016,
Sintra,8.040854769375068,7.0994837232,7.625785850435828,7.387804827623904,7.314211800653494,7.271347891427295,7.235685702547188,6.477893912914815,6.769555766386497,5.920621899954242,6.889722599050603,5.745093354171052,6.641728672528131,5.764258639347065,5.332012686900324,6.227964354287523,
VilaFrancaDeXira,7.791019279209237,7.0211509221962976,7.1132104516849415,6.908848726166502,7.350447863371807,6.53631559685267,6.972113791814568,6.2258773471064135,7.336164727893811,6.497259084614598,6.437789170818061,6.309106388279082,5.952579593433041,5.685410154431109,5.357080268856271,7.019503876623549,
Alcochete,9.072489040141413,6.75763056051534,5.655265487550354,8.808122864216228,7.863788814830215,7.4481053511935595,7.760897393696896,7.760897393696896,7.830712381300381,7.46179822598235,7.393172261798556,7.030625078309935,7.329570838806506,7.111875255323115,0,3.8345117296171316,
Almada,8.915919886482154,8.508343478387367,8.744129914792158,8.545824569248596,8.503517279803729,8.546478369155526,8.132094093304374,6.962017602342739,7.671520073116986,6.9661331902600105,7.78095033138021,8.144744554160063,7.926279888087237,6.82802051247445,8.457459025695858,7.1905723595159525,
Barreiro,7.458598908173117,8.167076399494341,7.039507122884709,7.565561293699632,7.178958301167633,5.67411458657625,5.9711171563710135,7.449652379127456,5.525040862444167,6.890704251377713,5.893726324666006,5.726341281282076,6.497430151602742,5.289286561914626,7.033238593109689,6.790222651787461,
Moita,6.944232461441897,6.450771948712116,6.8088583894173444,4.953973036865835,7.35651063996378,5.605235058725758,5.842326884484989,4.368835111550669,5.030754203124999,5.498277312288694,4.389957961989336,4.597100111050887,5.286890586145141,4.084294997360836,5.287032003038789,5.12820500833838,
Montijo,6.8804411892432125,7.199508682095973,6.710199417879834,5.870081282403918,6.669925621209144,6.904443993610059,7.731358330450939,5.551009067910773,5.599753756295088,5.878045003838581,5.7343182533071975,5.216428233889136,7.673026718070398,4.8843128619377145,6.758120897140295,7.361094752743252,
Palmela,6.659671018184474,6.793997026789233,6.361303011481584,7.0325710267931925,7.82539458922416,5.923287874044227,6.254096482435388,5.607756804692861,7.484789992619849,8.163024772734792,6.093559882891382,6.338980262262305,7.171883375547655,5.566466391433512,5.572116124325569,5.325709485213155,
Seixal,7.3529279999999995,7.206604732799998,6.115499717070908,6.5431319621226995,5.846435945357391,7.273364010696794,6.475112683866792,5.694590918274616,6.464286439230729,6.461901156723308,5.30481995248538,5.385014420047862,5.461616842544736,5.311708522991083,5.5261052152994035,6.2335662615333565,
Sesimbra,5.505492010601162,4.83564031434,6.29088521379653,7.18180814186102,5.440984896542289,4.929531794909202,4.7871288295732946,5.504572745991679,5.649045173279064,6.777485823938621,5.968199905801826,6.44532158190393,7.606521250606496,6.4621188852332665,6.571287814363445,5.943955524110092,
Setubal,7.188495480879211,7.734322161572033,8.409843524034562,6.751566707714126,6.333920080258663,5.916410889841709,4.770958568925744,5.456048476168885,5.136150263487448,6.230996564438643,6.066671405817539,5.21427337212088,4.718164118695151,6.2068784651864535,4.357080126987226,5.8591066065,
