-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,2031Q1,2031Q2,2031Q3,2031Q4,2032Q1,2032Q2,2032Q3,2032Q4,2033Q1,2033Q2,2033Q3,2033Q4,2034Q1,2034Q2,2034Q3,2034Q4,2035Q1,2035Q2,2035Q3,2035Q4,2036Q1,2036Q2,2036Q3,2036Q4,2037Q1,2037Q2,2037Q3,2037Q4,2038Q1,2038Q2,2038Q3,2038Q4,2039Q1,2039Q2,2039Q3,2039Q4,2040Q1,2040Q2,2040Q3,2040Q4,2041Q1,2041Q2,2041Q3,2041Q4,2042Q1,2042Q2,2042Q3,2042Q4,2043Q1,2043Q2,2043Q3,2043Q4,2044Q1,2044Q2,2044Q3,2044Q4,2045Q1,2045Q2,2045Q3,2045Q4,2046Q1,2046Q2,2046Q3,2046Q4,2047Q1,2047Q2,2047Q3,2047Q4,2048Q1,2048Q2,2048Q3,2048Q4,2049Q1,2049Q2,2049Q3,2049Q4,2050Q1,2050Q2,2050Q3,2050Q4,2051Q1,2051Q2,2051Q3,2051Q4,2052Q1,2052Q2,2052Q3,2052Q4,2053Q1,2053Q2,2053Q3,2053Q4,2054Q1,2054Q2,2054Q3,2054Q4,2055Q1,2055Q2,2055Q3,2055Q4,2056Q1,2056Q2,2056Q3,2056Q4,2057Q1,2057Q2,2057Q3,2057Q4,2058Q1,2058Q2,2058Q3,2058Q4,2059Q1,2059Q2,2059Q3,2059Q4,2060Q1,2060Q2,2060Q3,2060Q4,2061Q1,2061Q2,2061Q3,2061Q4,2062Q1,2062Q2,
Amadora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cascais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lisboa,2675.5580466099877,2931.1123921686303,3296.8895957266805,3925.574829028622,3827.581549275951,3983.301978806061,3815.74717565871,4064.6892639963203,3796.895217493022,4253.288925496081,3102.066654513556,3453.4745613172977,3163.18269775048,3223.947387690299,3296.8152651671753,3258.2413970949756,3124.4611769225844,3887.3621663268154,3916.9293619899963,3056.024646777244,2982.235559228409,4498.2988334466645,4001.500606928607,3637.1937931964917,3986.5773798569026,3782.5815123505536,3524.9489497938994,3265.5440534353847,3833.8752454814085,3942.740023163554,3471.803816378388,3701.3487905009883,3998.344303458586,4164.040267811899,3871.9118768588114,3998.5570165916815,4241.8149511915435,3895.74567265902,4191.619497877409,4617.137775152393,4618.938158598996,3131.6842740780476,3436.132014585369,3513.8979220565907,4404.59078790946,3434.4346940106207,5340.307421870727,3867.8523164451653,5295.286088495486,3650.4486291188396,5544.765261116467,3252.4979052860717,3460.767320711093,4002.6510253815895,5870.930500505322,3843.9626694017884,5011.170201038679,5742.150544769246,3290.1791961027584,5286.631091807033,4690.814875664728,4752.707791230209,4237.196407354099,6805.3110373041245,3629.0273796676875,7955.194021838391,4987.558248737627,5286.496354228531,4124.320055342216,4781.570127210818,4970.628196154064,4320.6138388487625,2990.3447973970406,4879.314689974474,9227.54004636694,3774.814326035832,4830.575742688685,4123.864820973864,3292.3302573117353,3849.9131970167828,3323.341100274114,4673.97631679703,4505.232037183058,4511.405530536215,11542.65259576522,13273.759719526468,3877.0352501311554,2939.501960685248,3618.7969274033367,4535.229940362252,13396.815344042176,15752.901332911175,3362.718853575293,3817.964552007967,4740.317187825474,4839.779279288561,5657.139646437327,5946.843650535637,4739.152101326671,5334.856065701401,4970.249359660967,5252.495338847079,24139.519786835706,4870.426865483631,5757.444103080434,5166.374970584278,5654.852867620387,5012.434986112591,5184.5352873515685,4306.972510558404,3897.5738028041587,3978.037340085285,3993.002272236688,3832.5024773156656,3785.8963726381357,3700.910558575386,3606.5035334611794,3604.4091256263882,3544.7648022110407,3469.847974881354,3364.2962022457887,3346.2046075473327,3326.825373350593,3199.769915509173,3106.5951549876986,3036.888121791289,3857.500726682031,3519.830350490503,3371.5754488128696,4859.792504625148,4030.3618991542726,4057.8988004674266,3485.550093392855,3592.9399522134263,3605.5472468877774,4102.551818414279,3197.8905852343605,2886.126841843912,3748.235494512006,3056.9608531081694,3005.3920909316444,2724.013325961751,2806.6630797287735,2789.5082767613767,2636.389229656416,4928.095141706668,5590.218243776495,4241.539901831256,5983.206321807264,5228.667975099129,5348.486661786638,5892.476838818738,2442.866189274253,2367.1127707273527,4237.272865702279,4410.449407577889,5306.743269550927,4310.374031415426,4426.905496753017,1267.4634406022062,6231.69911423628,1303.1033889579855,7284.484408974574,6850.068359654895,7166.724974686683,7399.4288824005225,
Loures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mafra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Odivelas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sintra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
VilaFrancaDeXira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alcochete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
