-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,
Amadora,1394.296562690589,1417.6531898375206,1460.3856722514122,1504.3583941983281,1571.1721365266035,1893.9521537845524,1741.0876441199905,1661.4169531234008,1862.4173915109009,1861.291793516108,1750.0392980162796,1751.1435833841003,1801.1757065416227,1856.4237855762838,1926.7686506137961,1847.7743133862496,
Cascais,2089.815147396239,1858.894630385193,1706.5413386883451,1991.3067963670408,1995.5109575120093,1983.835478609191,2163.4764980506957,2156.5007473456208,2453.396999907876,2370.153838313914,2593.8990406054886,2336.309904803772,2283.7111553358327,2535.7903016802175,2193.6183399038587,2357.8783101498066,
Lisboa,2177.979155358141,2286.9496208908367,2391.3721556609917,2520.1365654842803,2663.3025973981576,2794.2829880683094,2991.6226108991323,3026.3788610171523,3040.570694265106,3079.876075148557,2984.1950585705117,3064.817276987764,3205.1563240277865,3078.4207193671336,2964.3065678106623,2927.1352997605254,
Loures,1347.0165805033912,1239.7349853139,1346.8426087897724,1491.5885170685608,1628.121925668758,1860.980812272831,1901.0979696575678,1591.7160593226745,1814.062157489115,1869.4433805622784,1826.2833053661698,1826.206011401452,1829.092245040536,1610.4574365143706,1572.9535819543103,1794.7349730529154,
Mafra,1232.8845389295986,1123.991632922801,1432.850454499667,1377.3133020454009,1603.3940814874402,1419.9352919874611,1540.8716541043582,1633.6519502027627,1989.9297762159663,1678.7581454455794,1749.0709444328052,1683.6956774611053,1857.24379990127,1913.1290670122662,1990.5271296660096,2093.623083122328,
Odivelas,1470.3960872146304,1396.767536093367,1374.9332705344536,1383.690211327539,1682.4243190661718,1598.9383689278734,1825.0136693160641,2023.3499014181566,1848.4388317466169,1916.6148639986768,1647.2121639958964,1833.8324145058207,1802.1123955544833,2103.0845451976606,1863.8690055029479,1979.5266035907275,
Oeiras,1617.4886250479606,1781.0695997977625,1816.1703939813985,2019.373010532991,2169.1867905919917,1757.097715965976,2283.502207696878,2093.6906344793497,2008.143906505805,2210.6156339167583,2123.154914153886,1918.7872850535764,1976.4208731726615,1916.5090473800126,1971.1449759284735,1920.208025916511,
Sintra,1094.7218019113095,1105.8622553647256,1159.4758030284838,1308.6589961504687,1147.0198613508908,1349.1482014305657,1385.6111064150832,1381.0805110986005,1308.982291638054,1448.0854322978942,1472.9721150532973,1315.0119113860992,1459.1854676712446,1510.821659652972,1657.8786095326195,1614.4559688156949,
VilaFrancaDeXira,1117.5325064063748,1081.8604488700496,1320.944511598255,1374.1459253001524,1357.363206058651,1483.554861124044,1309.7058080145548,1199.853496821067,1380.5533754521705,1368.4714709357354,1476.606093961864,1429.7617531259966,1466.4289239828624,1327.2786155916672,1602.305960354799,1540.1509713795374,
Alcochete,1645.285278760342,1241.4857205871317,1346.4605036451098,1263.0972577279194,996.5001999076514,1430.4838354631854,1211.242114363246,1386.0978133876572,2228.532628272186,2863.782681035778,1727.812141436046,2770.85585,2170.346668739544,2190.0210158488126,2692.7591596716443,2750.0817363832625,
Almada,1317.9456856945199,1387.6777959202664,1364.2611075987056,1505.3102240485287,1409.4720994467418,1700.3820467941537,1871.1764863860142,1799.0941910513675,1565.8612249189232,1767.7698945183104,1817.188302484949,1850.0146702992301,1681.0503796087396,1755.572971009818,1779.0256985351311,1825.0817997842964,
Barreiro,1016.7158979165516,964.2360816822431,1007.128517731445,1120.789008896507,1034.3773042743617,1063.397892441388,1112.1142276434907,1067.023854297903,1018.0159851258096,1129.041466009843,1242.1286329775203,1198.9829131803467,1452.3464880746362,1149.4804358975691,1221.6546976950247,1353.3353270430835,
Moita,811.0346302881206,854.5974388260142,1057.3142209663652,681.6305254257596,808.7959911920434,1081.0289263839256,909.7795527063213,1037.0558498177097,999.0629368170364,1213.5947099903362,1106.8998622661543,1103.5523080284574,1203.3333597720843,1291.789274248399,1244.7107181980118,1197.4197058884827,
Montijo,927.2931340179476,1101.797528289781,1214.6817418439232,1208.2140073107626,1180.7229950913456,1259.7353206296038,1614.8220431088243,1597.074723361155,1317.989406773777,1528.9455776483985,1762.1176536740631,1784.9125375485755,1782.5421647102098,1766.9565820271796,2012.6679453074648,1676.7469942987436,
Palmela,1057.2210386995027,1203.3273690526626,1189.1057133316913,1163.9281750297966,1098.3937059600785,1424.9717228496293,1316.4455858227197,1402.3972174828634,1176.3907650514382,1575.4453863604724,1486.5438247782067,1589.8534887220308,1849.3363386379315,1630.206381174306,1802.8626684126255,2000.8019079427481,
Seixal,1174.9429981569365,1276.6608106287197,1425.6854943122305,1136.760795875114,1429.2118734127948,1297.2750662864437,1440.4648769259168,1630.1864511395231,1370.9600398788596,1823.910704342438,1668.4648742376708,2007.4895923335002,1759.879857191223,1710.1466181263395,1741.6379519116356,1745.187412875413,
Sesimbra,1103.3898376019185,1183.7383284710509,1158.5263750036663,1266.6452666098803,1182.3910203959124,1367.0492918282935,1475.2117725334956,1347.503469846436,1365.1227314030511,1350.893092472907,1596.7343795301044,1474.923178577797,1679.9843030301663,1640.269325706774,1432.6239944946742,1622.530285526381,
Setubal,996.3522032232,993.3201748810758,1378.884827675674,1033.7997594222809,1223.0735084318535,1205.8573026495974,1281.1128698290581,1287.5978258838597,1374.993228453729,1329.1577429938484,1304.8562907143448,1537.187111740338,1239.7347274203162,1566.7945796175854,1532.9814130467182,1348.3292743403708,
