-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,
Amadora,9.47526292079208,10.543056089211362,10.554786084848486,9.53542533445449,8.618909048021326,7.9826537645545965,8.938702244025205,9.76548069985119,8.748764054761544,8.610146627509359,8.386162738208734,8.109224613728228,8.176028414812174,8.314852250544968,7.806220756194067,8.290224089411788,
Cascais,11.439894248504883,13.258302484848484,11.219233806546587,10.424960497286786,12.07069698001936,11.202745719243655,9.65938568150588,9.957240288404147,10.697104977510005,10.25353960842401,10.77842031961401,11.250160825273106,11.50492512535499,10.814008753889905,10.549502868539705,10.076031092446726,
Lisboa,12.521753777472023,14.652810332433603,15.008571695710582,13.647076366977801,14.504018159880795,12.327443455235233,13.1911101200871,14.154217530281608,13.450462562601134,11.892747092801999,14.855283811782913,11.261262160673756,11.966345850915099,11.775601780925664,11.526766175010557,11.37154133938861,
Loures,8.904194617493927,8.88656460164195,8.62751461988304,7.622695656381014,7.711654750114931,6.446054747252612,7.694907289613816,7.037528693012426,6.861399328539351,7.155769730816621,7.054472204254064,6.178858711005969,7.368550848140162,8.09199355494409,7.033965201026294,6.884287522604138,
Mafra,7.927711422567673,7.19091559720674,8.025176793494122,6.639112222979235,6.4780691357564155,6.261348592156862,6.434272019664209,7.138173600176978,6.534110225740351,6.746856939722903,5.4474492738664,8.025702874446589,6.6738714195238105,4.961197461916547,5.4034355499631594,6.796439147699531,
Odivelas,9.035401474945097,9.26625845352946,8.511132597505071,8.419695025239378,8.228558989898989,8.414118485780506,7.034153823075166,8.176519935218451,6.685828339380489,7.912315388873927,6.777907068173241,7.699650162439669,7.7936106974736905,5.388286089028138,7.2457162026857524,7.149584746416653,
Oeiras,8.013800524209532,7.886465735153501,6.817691826724614,6.43406992307035,6.666051125468808,6.6875839453898855,7.647831835740659,7.103786725805762,5.85211820963188,9.136289030489184,6.091685904481319,8.516920195012611,7.959500029861919,7.110512563767394,7.478432608357621,7.641900359536938,
Sintra,8.171648842780705,7.752913908331657,7.541054757830966,8.069536447669389,7.871435706031674,7.494850542649392,6.171605219861333,6.77124935269021,6.66997372111956,7.127115705368513,7.014880777685337,5.619064670929918,6.5666702092435045,6.654338601314287,5.079438369618788,6.336309955400895,
VilaFrancaDeXira,8.085025839289337,7.706114657999999,6.610570858694041,6.805645138271356,5.469764040557166,5.571458021366268,5.17539531029048,5.864417514504877,5.423912583040702,6.860159847467629,6.445926581795086,5.138771409374442,4.971002344047118,6.389215350423022,5.545361212685679,6.246568237913092,
Alcochete,7.489330420076794,5.999088664549702,5.97915213281587,6.029787766760173,6.110306242956954,5.580828522310712,5.921682449758254,0,5.646946562847621,7.167810490647847,0,6.785459450902535,10.021044349048728,0,0,0,
Almada,9.458839081477478,9.677594114371232,8.295480872279715,9.47064487656452,8.713293142050492,6.954348769592043,8.935787010887722,6.940747922329832,7.825453605403314,7.950624636468811,8.408350446963821,8.24649804176465,6.844946518834963,8.828547958178186,8.679106610758147,7.071697113076729,
Barreiro,7.110575999999999,7.487513153856707,7.1300691628684145,7.028882990990991,7.3388164754772305,6.337261609187797,6.946400717723021,6.069364776141999,5.653763266687248,6.3855949776762095,5.467028199275131,6.142035219187525,5.355280031671953,5.3855427164755945,7.404584781921832,4.64073559090603,
Moita,6.655004265389731,6.77580794792154,6.064887137036413,7.748772146841913,6.682617599237679,6.089625978870551,6.568614243262658,5.560358616470588,6.108708415078737,6.380858177685428,5.008569322033303,5.07523442988289,5.234415110657352,5.979759518398244,5.48202782300428,5.341129383992457,
Montijo,7.1364189759247045,7.625890607514723,7.207216422697519,5.887350203117865,6.233019040051371,5.241032790593117,6.677524521624406,6.09720079796363,5.836225963703685,5.8221384628293755,6.213467859553183,6.466858524767526,4.197046428491049,4.998544175745872,4.461999144393133,7.6305059756439615,
Palmela,6.272427567636266,6.567001821913358,7.256772368429742,7.140229826501937,7.7974700107970385,7.8776628957696975,6.714535304560346,7.700552392140398,7.561930515439847,6.802298009529417,8.393427535397704,4.867523976786853,8.022148982477313,8.722676504524378,7.717171431502369,8.073208357413163,
Seixal,7.7054956024639605,7.569376915422886,7.096671112048369,8.179231486379628,6.978994122736553,7.084043540575939,6.306419715349469,6.10823275083299,5.963725048306735,5.945692997954092,6.018440876569075,6.375820486745633,7.43048318783853,6.368734344440767,6.585680784546273,7.703133052878789,
Sesimbra,5.933351643205196,5.96765276113248,5.555301591264433,5.176353287193274,6.168754582122853,5.661764148603602,5.522144462267521,7.769707516193248,6.9646319749713355,5.146999499416035,5.811994672605916,5.050403273330923,5.446819261079807,5.178455138673501,7.325155452024077,5.689177339288558,
Setubal,7.750140784151416,7.9779497446439995,7.438934192466992,6.788428423201233,7.750522390631974,6.0134208598870496,7.210714747388426,6.895755445045045,6.764770794365668,6.499193572952198,6.242588281943387,4.7031513923713995,6.056568883277412,4.898293588237468,4.760565740338145,4.778353652255483,
