2025_02_27_T21:50:34 -  finished initateHouses in 0.05290985107421875 seconds
2025_02_27_T21:50:35 -  finished initiateHouseholds in 0.20219206809997559 seconds
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
2025_02_27_T21:50:35 -  All houses for rental were assigned in Alcochete
