2025_02_23_T12:42:38 -  finished initateHouses in 0.054923057556152344 seconds
2025_02_23_T12:42:39 -  finished initiateHouseholds in 0.18241000175476074 seconds
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
2025_02_23_T12:42:39 -  All home owners were assigned in Lisboa
