-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,
Percentile 1,205.18008,157.65457,115.78431,75.542854,20.977058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Percentile 10,660.80444,860.2692,1039.6415,1193.8665,1342.472,1473.9829,1602.123,1728.5757,1837.7135,1920.7681,2038.0872,2104.7563,2141.6216,2239.5095,2339.886,2458.6138,2558.6814,2616.9873,2680.1514,2752.3455,2815.7432,2877.8928,3005.2458,3120.039,3177.2175,3247.9207,3277.3413,3282.416,3296.205,3345.5244,3378.2148,3349.7563,3359.5264,3351.0488,3407.9666,3474.3145,
Percentile 20,1062.8257,1424.4998,1759.1484,2062.007,2353.2742,2634.873,2905.959,3175.3074,3427.8845,3651.6587,3903.0303,4103.76,4270.204,4479.9375,4699.4297,4905.9575,5111.396,5286.8237,5447.313,5618.063,5771.2666,5935.097,6146.7275,6330.7285,6463.788,6616.704,6731.677,6812.921,6917.7397,7054.683,7172.5195,7219.832,7308.6606,7371.6753,7483.23,7603.641,
Percentile 30,1658.5972,2137.5925,2609.551,3054.902,3498.5984,3924.4277,4336.413,4742.9893,5119.169,5458.377,5811.5244,6109.1416,6371.4507,6669.5654,6959.489,7258.0986,7540.79,7797.3086,8055.024,8327.486,8573.544,8826.643,9126.923,9416.033,9652.796,9913.062,10124.414,10319.186,10532.86,10771.595,10981.281,11131.27,11322.638,11495.713,11717.178,11922.296,
Percentile 40,2790.4373,3381.1584,3956.0422,4483.967,5008.0967,5504.788,5989.7134,6480.075,6955.5425,7412.4023,7884.991,8318.663,8725.982,9164.614,9606.182,10046.578,10474.819,10884.115,11268.965,11670.403,12059.555,12448.78,12892.849,13304.154,13674.478,14060.978,14402.353,14698.321,15023.63,15361.387,15663.886,15891.524,16169.095,16390.074,16694.363,16989.604,
Percentile 50,4671.3223,5353.8228,6047.042,6722.6416,7378.029,8012.599,8634.088,9261.393,9851.727,10398.707,10973.905,11476.957,11947.301,12473.886,12990.873,13513.152,14026.504,14502.436,14954.437,15453.603,15926.91,16403.266,16942.893,17450.027,17937.322,18436.424,18903.346,19325.05,19783.809,20264.773,20731.523,21134.326,21569.22,21973.838,22433.55,22880.893,
Percentile 60,7487.861,8295.124,9123.111,9927.374,10737.926,11541.373,12341.383,13147.809,13919.699,14626.047,15378.593,16071.133,16719.412,17407.451,18112.186,18814.508,19512.996,20173.572,20808.877,21473.498,22128.66,22763.305,23481.93,24164.186,24809.285,25467.967,26090.357,26638.932,27229.697,27838.092,28444.656,28977.94,29560.922,30088.291,30698.67,31265.549,
Percentile 70,11485.478,12517.137,13567.462,14592.064,15599.463,16622.041,17650.318,18648.89,19635.766,20572.152,21563.777,22481.736,23366.73,24260.244,25187.525,26120.373,27057.24,27952.156,28796.969,29699.898,30585.443,31470.883,32456.783,33409.145,34282.67,35191.676,36032.457,36821.613,37668.336,38534.344,39406.99,40178.527,41014.297,41819.574,42687.117,43516.797,
Percentile 80,17195.377,18596.34,19988.023,21369.145,22731.607,24135.979,25498.97,26911.02,28285.596,29636.115,30997.033,32340.152,33640.926,34992.68,36343.297,37684.74,39066.703,40380.03,41660.145,42971.934,44323.074,45681.008,47175.098,48670.93,49988.902,51416.36,52729.11,54038.258,55401.082,56804.13,58206.945,59507.188,60899.207,62230.977,63665.137,64989.414,
Percentile 90,26581.676,28615.867,30693.229,32781.805,34825.89,36873.49,38988.58,41215.246,43345.242,45559.15,47755.1,49934.555,52045.92,54281.293,56540.668,58798.246,61098.4,63455.684,65781.984,68053.39,70437.34,73015.164,75664.91,78336.164,80733.0,83324.66,85886.7,88421.0,90942.2,93533.164,96265.9,98870.99,101732.77,104497.49,107478.625,110126.984,
Average,10116.592,11664.447,13117.048,14640.446,16095.058,17639.248,19214.46,20803.02,22361.73,24056.748,25874.033,27522.193,29001.846,30541.06,32051.701,33520.594,34972.46,36474.363,37926.19,39132.082,40336.434,41613.637,43059.53,44567.617,45770.434,47007.816,48286.79,49425.043,50590.746,51860.055,53126.52,54259.168,55509.188,56702.715,57997.64,59156.387,
