-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,
Percentile 1,205.24428,157.8212,116.34672,75.542854,20.977058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Percentile 10,875.0756,1085.9666,1264.1448,1404.5386,1546.9948,1660.5474,1773.1628,1903.217,2007.2083,2080.253,2212.3926,2278.2654,2323.175,2434.6355,2554.8618,2678.811,2800.947,2889.0256,2961.6602,3056.5527,3115.6343,3199.919,3372.7053,3543.0784,3665.5073,3779.5115,3855.3054,3907.3704,3969.0876,4047.8457,4138.2603,4157.2065,4218.5947,4250.0444,4376.4336,4494.853,
Percentile 20,2100.2996,2416.9106,2795.1094,3176.2888,3578.7844,3949.0127,4299.549,4646.378,4947.4893,5189.077,5500.8438,5720.305,5881.6113,6137.192,6391.0283,6638.1714,6868.709,7046.1396,7222.343,7423.1094,7566.8833,7738.571,8029.0044,8310.076,8557.304,8788.466,8961.243,9069.696,9260.901,9446.276,9653.137,9741.929,9883.163,9993.934,10222.349,10450.179,
Percentile 30,6565.221,6995.9424,7534.602,7937.028,8445.625,8861.49,9268.487,9722.479,10104.808,10395.617,10873.649,11159.275,11395.822,11798.421,12210.063,12609.831,12978.078,13295.475,13597.149,13994.287,14295.936,14646.463,15208.738,15729.28,16201.662,16644.037,17005.715,17299.86,17698.854,18074.746,18478.182,18748.88,19098.326,19380.28,19819.18,20240.547,
Percentile 40,17801.367,18614.201,19687.945,20574.219,21613.61,22431.012,23285.87,24233.646,25087.082,25750.05,26887.398,27541.41,28038.07,29019.262,30075.71,30963.922,31853.201,32445.89,32918.688,33779.777,34103.54,34696.13,36133.58,37490.832,38571.766,39543.22,40141.63,40447.066,41204.535,41929.168,42912.71,43112.652,43891.496,44331.61,45297.117,46466.547,
Percentile 50,68380.74,68643.16,80435.52,85368.32,95577.08,98074.05,102410.63,107481.58,111760.06,114548.32,121777.85,124502.17,125399.27,129536.85,133955.48,136709.9,139122.56,140064.84,140558.94,141902.39,141275.34,141585.55,144660.14,147524.69,149124.28,150116.64,150667.0,150118.14,150624.33,151633.06,152978.03,152610.64,153784.98,154730.1,156209.83,158127.72,
Percentile 60,236286.95,243573.53,247233.1,247421.75,248943.58,249585.06,251186.48,252794.53,253891.81,255034.28,257651.27,258903.17,259538.27,261159.33,262806.03,264329.75,265496.47,266454.3,267030.47,267948.12,267921.22,268916.8,271131.5,273100.97,274250.3,275230.28,275677.72,275593.75,275862.53,276403.62,277336.2,276926.25,277496.7,277779.6,278437.22,279383.03,
Percentile 70,333906.34,340407.25,343515.66,345749.1,347360.16,347907.94,350286.84,352694.44,354694.56,356405.34,359164.25,360711.44,361772.9,363741.4,365825.97,367630.25,369666.0,371061.06,372028.78,373354.4,373836.4,374873.7,376870.5,378545.16,379559.3,380560.16,381295.62,381537.12,382221.28,383016.47,383831.0,384084.53,384953.22,385348.84,386285.4,387034.34,
Percentile 80,468546.06,472550.16,472689.53,474697.88,474336.34,466813.22,468182.72,469946.03,472460.62,474217.28,477734.56,479881.3,480841.16,483887.3,486374.7,488667.1,491149.97,493209.78,494567.88,496249.44,497090.88,498619.4,501222.6,503202.2,504603.2,505701.84,507032.47,507610.66,508580.5,509657.4,510851.47,511348.97,512776.5,513489.22,514779.97,515672.25,
Percentile 90,740500.6,749415.06,752259.44,755184.7,756732.75,751217.94,753602.6,752690.06,754318.6,756116.0,762098.9,764849.4,766302.25,769847.2,774125.2,777663.3,780780.6,784351.7,785496.94,787349.6,789442.3,792286.44,796971.25,800379.0,803219.8,806310.44,808803.9,810101.7,811688.5,814546.75,816624.25,818091.4,819863.75,822121.6,824603.4,826274.1,
Average,268669.8,273294.97,275181.66,276910.7,278087.53,276916.16,278686.75,279847.62,281573.62,283123.47,286135.38,287844.47,288878.6,290927.1,292993.97,294992.7,296741.88,298330.25,299326.78,300504.0,301283.97,302687.5,305028.78,307157.72,308611.16,309949.16,311003.06,311588.6,312409.4,313680.6,314937.06,315608.94,316717.72,317525.4,318792.62,319850.97,
