2025_01_03_T19:33:40 -  finished initateHouses in 0.03336310386657715 seconds
2025_01_03_T19:33:41 -  finished initiateHouseholds in 0.2132260799407959 seconds
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
2025_01_03_T19:33:41 -  All houses for rental were assigned in Moita
