2025_01_03_T19:48:03 -  finished initateHouses in 0.03461194038391113 seconds
2025_01_03_T19:48:04 -  finished initiateHouseholds in 0.20785117149353027 seconds
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
2025_01_03_T19:48:04 -  All houses for rental were assigned in Montijo
