Year,Birth Rate,Mortality Rate,Divorces,
2021,27.870056648924415,16.302984219177553,1.9466481411873888,
2022,27.746440940574757,14.78035223517635,1.9261516833781767,
2023,28.201224012767472,17.51743761912448,1.8637090807407977,
2024,25.025801738825947,17.148298982746425,1.883742764418654,
2025,24.980854336878682,17.488440488628964,2.3944368747475,
2026,22.77918276125098,17.542308656299497,1.9210743092605491,
2027,21.023809378407915,20.129374301264725,1.9752464276429413,
2028,22.37233928348658,20.71247261332286,1.738737590612362,
2029,20.02983914971347,21.75997751867079,1.5807314213080697,
2030,19.954909834150538,21.821360761367565,2.301822093510025,
