-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,2024/4,2024/5,2024/6,2024/7,2024/8,2024/9,2024/10,2024/11,2025/1,2025/2,2025/3,2025/4,2025/5,2025/6,2025/7,2025/8,2025/9,2025/10,2025/11,2026/1,2026/2,2026/3,2026/4,2026/5,2026/6,2026/7,2026/8,2026/9,2026/10,2026/11,2027/1,2027/2,2027/3,2027/4,2027/5,2027/6,2027/7,2027/8,2027/9,2027/10,2027/11,2028/1,2028/2,2028/3,2028/4,2028/5,2028/6,2028/7,2028/8,2028/9,2028/10,2028/11,2029/1,2029/2,2029/3,2029/4,2029/5,2029/6,2029/7,2029/8,2029/9,2029/10,2029/11,2030/1,2030/2,2030/3,2030/4,2030/5,2030/6,2030/7,2030/8,2030/9,2030/10,2030/11,2031/1,2031/2,2031/3,2031/4,2031/5,2031/6,2031/7,2031/8,2031/9,2031/10,
Percentile 1,329.93707,305.24207,253.3104,191.59996,141.37067,86.476654,5.872327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Percentile 10,894.1238,1146.765,1387.1196,1620.2865,1856.1516,2083.6328,2308.4756,2523.7866,2741.896,2953.6548,3163.854,3377.2986,3584.0364,3780.961,3978.1975,4173.8813,4377.2397,4580.2036,4757.368,4940.7144,5114.7173,5267.7773,5448.813,5638.5894,5810.825,5971.427,6147.923,6314.935,6464.252,6618.2334,6787.5366,6940.544,7091.528,7239.7104,7383.5967,7517.045,7666.3657,7824.7163,7994.5483,8145.795,8294.283,8421.923,8518.268,8636.901,8776.225,8907.717,9049.486,9157.1,9259.233,9387.614,9520.682,9672.321,9799.565,9884.324,9966.017,10046.287,10131.607,10245.026,10329.318,10413.782,10426.09,10478.44,10558.891,10632.793,10683.225,10723.782,10709.971,10724.924,10731.831,10763.018,10785.568,10794.218,10796.771,10849.228,10832.007,10839.51,10843.51,10890.523,10913.881,10942.183,10977.495,11014.943,11040.627,11071.644,11082.097,11105.937,11157.035,11232.684,11305.873,11353.246,11375.62,11390.855,11442.918,11382.923,11301.694,11270.656,11282.372,11233.66,11167.729,11077.037,10991.597,10929.343,10832.773,10776.894,10634.519,10569.896,10480.684,10454.653,10382.959,10387.367,10372.692,10424.431,10434.193,10422.016,10363.1875,10393.734,10360.863,10366.783,10332.604,10368.814,
Percentile 20,1332.124,1735.5493,2127.0796,2506.1028,2877.3884,3237.9634,3593.7283,3942.8218,4274.4976,4613.1055,4954.214,5289.2095,5624.8877,5959.4395,6290.7046,6619.7524,6938.641,7265.6616,7584.531,7907.0234,8225.483,8534.261,8853.62,9177.157,9484.248,9797.867,10107.589,10405.698,10706.611,11000.786,11293.062,11570.401,11866.014,12152.71,12447.891,12735.183,13039.564,13334.508,13642.269,13943.488,14241.679,14504.89,14770.656,15040.514,15316.961,15583.574,15852.761,16100.287,16349.139,16629.605,16898.205,17187.834,17448.73,17689.725,17950.916,18209.61,18462.27,18709.967,18950.557,19204.893,19431.045,19648.422,19903.945,20125.56,20326.371,20532.64,20728.275,20940.36,21133.834,21330.701,21504.344,21691.158,21864.975,22000.258,22156.146,22291.926,22465.393,22608.805,22834.576,23015.775,23199.34,23407.793,23568.273,23751.8,23923.186,24111.262,24286.549,24496.496,24664.936,24854.127,25018.45,25199.455,25382.436,25500.23,25582.875,25716.777,25865.002,25955.582,26023.191,26137.273,26237.105,26289.55,26342.43,26403.932,26448.814,26547.225,26631.998,26771.482,26882.406,27023.559,27115.94,27199.645,27332.299,27405.508,27455.0,27559.06,27642.01,27762.646,27850.768,28048.533,
Percentile 30,1958.3741,2437.3833,2918.6877,3405.616,3890.2476,4369.963,4861.654,5332.239,5800.9595,6273.075,6740.1606,7210.947,7669.456,8142.0415,8600.003,9057.277,9515.757,9972.655,10417.113,10862.86,11300.044,11736.523,12175.666,12619.712,13069.236,13507.487,13933.946,14360.726,14788.573,15221.159,15643.851,16063.163,16482.512,16896.006,17307.799,17718.996,18158.473,18557.96,18975.316,19390.637,19783.44,20166.975,20570.805,20955.166,21350.303,21729.953,22130.697,22505.406,22881.53,23243.11,23619.234,24019.873,24402.227,24758.623,25112.213,25485.91,25839.88,26210.639,26569.822,26965.676,27307.584,27637.771,27973.02,28328.611,28601.324,28924.072,29232.037,29546.693,29841.467,30135.457,30397.56,30688.777,30973.273,31240.24,31450.043,31711.46,31972.082,32211.512,32509.512,32808.89,33077.992,33367.27,33655.758,33909.164,34156.855,34453.188,34714.406,35015.926,35247.72,35497.543,35732.746,35972.87,36231.81,36444.293,36605.926,36815.54,37044.125,37230.973,37440.75,37599.59,37788.39,37947.887,38163.375,38323.086,38522.492,38671.137,38832.742,39029.64,39200.242,39432.63,39661.332,39926.02,40132.37,40386.824,40581.55,40849.082,41048.375,41309.86,41539.207,41776.316,
Percentile 40,3208.8591,3758.803,4315.004,4888.591,5454.0815,5999.176,6545.253,7082.74,7633.3335,8173.572,8705.563,9246.311,9792.512,10322.432,10849.972,11392.874,11914.624,12452.708,12982.353,13510.585,14032.893,14552.859,15080.187,15604.418,16134.909,16660.521,17174.006,17698.205,18211.736,18735.154,19254.34,19754.678,20246.344,20741.984,21253.973,21758.703,22272.707,22774.967,23269.525,23783.922,24295.242,24775.709,25267.836,25765.941,26258.111,26757.443,27245.744,27727.748,28207.39,28681.84,29162.36,29669.506,30145.145,30640.363,31114.643,31598.2,32048.436,32528.014,33002.246,33486.176,33937.77,34393.727,34872.934,35338.168,35767.22,36201.996,36654.48,37091.52,37511.188,37932.453,38363.363,38797.35,39212.664,39617.535,40013.684,40430.746,40840.82,41259.586,41677.188,42094.746,42496.84,42923.93,43336.473,43728.17,44109.74,44534.855,44956.332,45374.16,45765.938,46156.426,46536.832,46937.844,47323.406,47724.805,48040.945,48411.824,48786.258,49120.098,49467.254,49796.223,50110.723,50456.047,50815.44,51142.727,51503.805,51855.12,52157.926,52537.965,52876.523,53248.56,53596.91,53971.367,54320.008,54656.582,55026.242,55367.266,55722.246,56120.645,56460.17,56820.617,
Percentile 50,5349.4434,5991.4355,6661.334,7320.109,7987.0566,8653.369,9323.986,9992.341,10640.39,11297.359,11960.112,12612.58,13260.389,13897.149,14558.425,15184.771,15827.357,16467.436,17095.475,17756.887,18376.23,18999.076,19634.232,20256.127,20890.377,21498.18,22138.562,22751.809,23357.877,23976.77,24591.975,25190.082,25799.963,26405.74,27030.723,27626.152,28244.502,28841.088,29454.87,30082.707,30659.557,31219.69,31810.578,32367.74,32972.375,33549.973,34131.633,34689.37,35249.496,35830.258,36369.266,36978.164,37553.21,38101.207,38651.08,39231.684,39768.855,40333.61,40903.008,41419.46,41950.027,42450.832,42981.168,43549.33,44054.637,44579.18,45129.016,45652.766,46136.402,46615.066,47112.574,47600.094,48072.496,48559.13,49006.258,49472.746,49984.094,50465.406,50978.51,51493.203,51960.5,52465.96,52966.945,53449.836,53926.402,54416.117,54916.09,55414.715,55873.25,56342.68,56834.406,57307.96,57793.043,58239.91,58671.996,59096.375,59554.492,59946.434,60372.047,60798.02,61184.133,61624.92,62075.254,62487.062,62892.91,63295.86,63678.496,64123.53,64552.7,65047.375,65482.594,65964.484,66377.47,66822.516,67232.4,67692.625,68141.336,68589.39,69008.77,69517.03,
Percentile 60,8435.194,9180.523,9957.344,10739.739,11514.066,12313.617,13105.977,13895.214,14664.188,15433.786,16232.634,17041.59,17815.5,18569.566,19375.516,20144.48,20904.527,21688.658,22453.453,23197.955,23972.889,24749.586,25525.416,26301.213,27073.771,27824.947,28626.486,29401.463,30176.81,30937.145,31715.225,32446.156,33205.945,33952.64,34720.94,35457.484,36234.707,36975.77,37742.27,38482.64,39222.543,39962.29,40672.82,41389.383,42091.207,42827.59,43534.22,44244.824,44978.066,45688.742,46387.4,47114.63,47836.953,48523.234,49244.176,49982.543,50686.473,51422.18,52124.594,52803.484,53499.293,54156.137,54839.94,55544.35,56175.77,56857.125,57505.117,58169.11,58774.594,59422.65,60051.824,60672.164,61290.9,61881.67,62472.656,63058.723,63696.76,64317.957,64906.516,65497.938,66106.516,66752.63,67379.17,67985.06,68608.41,69233.85,69879.805,70492.55,71099.25,71676.2,72290.91,72864.65,73503.92,74088.04,74552.375,75113.19,75700.43,76213.43,76731.61,77212.54,77706.1,78235.69,78799.984,79322.586,79851.55,80392.33,80896.7,81458.49,82034.95,82635.9,83164.88,83784.47,84383.234,84920.14,85450.72,86007.484,86550.78,87094.84,87643.44,88230.2,
Percentile 70,12785.49,13694.627,14625.613,15588.797,16533.43,17489.857,18410.916,19373.594,20348.748,21318.344,22298.254,23281.227,24247.832,25215.217,26188.387,27161.406,28159.248,29136.994,30098.242,31061.91,32003.469,32947.535,33887.113,34838.484,35817.55,36773.01,37749.703,38700.8,39682.395,40650.492,41576.406,42490.35,43470.91,44392.785,45351.223,46246.355,47196.754,48119.293,49090.973,50005.758,50931.086,51841.04,52730.395,53613.605,54573.48,55518.203,56441.66,57339.43,58248.746,59127.445,59978.367,60889.87,61738.934,62640.35,63485.33,64383.367,65202.285,66136.59,66985.63,67906.14,68752.99,69508.72,70389.97,71293.29,72061.3,72951.734,73803.08,74627.0,75406.19,76236.54,77007.625,77824.266,78599.99,79332.984,80080.48,80867.33,81700.266,82457.734,83271.125,84051.8,84846.86,85676.52,86410.086,87194.57,87984.62,88721.95,89503.086,90296.46,91148.02,91945.13,92704.125,93451.625,94177.016,94964.375,95538.67,96203.35,96903.445,97567.19,98286.29,98969.72,99677.016,100338.21,101161.016,101824.29,102536.17,103305.18,103929.79,104624.81,105297.375,106086.31,106816.125,107533.43,108266.81,108984.1,109666.64,110396.97,111161.92,111867.31,112609.48,113392.72,
Percentile 80,19069.945,20269.656,21485.941,22709.922,23913.883,25133.379,26328.383,27557.172,28766.49,30008.986,31231.062,32471.99,33659.18,34903.957,36128.6,37314.668,38544.598,39778.918,40989.73,42201.043,43416.477,44607.4,45831.547,47050.805,48289.06,49501.04,50753.797,51963.926,53148.28,54340.453,55490.832,56694.844,57912.9,59058.598,60258.207,61432.473,62637.97,63830.082,65031.133,66217.695,67370.76,68535.29,69725.164,70888.336,72052.4,73186.01,74359.75,75506.055,76687.85,77855.664,78983.58,80154.516,81295.37,82428.28,83540.484,84751.83,85835.48,87046.77,88126.75,89314.055,90467.64,91560.5,92684.38,93805.195,94890.16,95976.984,97134.77,98231.1,99323.3,100441.15,101590.984,102668.47,103785.52,104867.15,105881.77,106911.66,108066.5,109140.87,110286.16,111349.4,112430.09,113523.734,114636.59,115751.91,116877.766,117999.164,119219.55,120312.92,121309.76,122359.92,123458.24,124498.47,125636.53,126736.08,127676.24,128710.41,129781.39,130738.51,131704.12,132772.55,133767.47,134786.56,135851.98,136824.84,137889.19,138880.75,139780.2,140773.02,141669.94,142711.08,143687.0,144676.77,145701.58,146726.17,147698.52,148760.84,149791.81,150776.02,151861.94,152906.53,
Percentile 90,29229.52,30944.82,32675.605,34433.645,36189.215,37838.492,39497.902,41156.637,42949.766,44724.285,46459.605,48139.137,49924.55,51673.15,53419.203,55127.117,56907.28,58665.242,60354.438,62111.242,63859.734,65589.375,67352.98,69157.92,70968.5,72644.445,74478.305,76260.72,78106.36,79883.914,81593.1,83268.766,84913.92,86570.98,88307.75,90066.016,91932.39,93637.63,95453.36,97123.164,98811.96,100537.375,102262.086,104111.83,105872.09,107559.78,109229.59,110910.086,112669.05,114416.59,116204.875,117946.46,119654.6,121396.53,123137.81,124954.945,126581.625,128419.336,130015.555,131744.86,133453.69,135108.62,136694.95,138421.98,139867.89,141625.5,143420.3,145134.25,146854.06,148597.97,150351.14,152035.0,153770.17,155485.69,157135.9,158813.69,160426.83,162098.0,163851.36,165550.73,167154.16,168997.3,170780.78,172379.55,173867.3,175763.92,177567.45,179166.61,180851.45,182628.66,184481.62,186001.33,187834.22,189504.33,191038.55,192509.73,194380.16,196166.7,197791.12,199398.14,201140.36,202898.88,204673.83,206149.0,207911.69,209623.19,211120.05,212498.7,214107.03,215623.42,217394.8,218998.83,220609.86,222191.94,223994.53,225687.58,227424.61,229116.2,230740.97,232477.83,
