-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,2024/4,2024/5,2024/6,2024/7,2024/8,2024/9,2024/10,2024/11,2025/1,2025/2,2025/3,2025/4,2025/5,2025/6,2025/7,2025/8,2025/9,2025/10,2025/11,2026/1,2026/2,2026/3,2026/4,2026/5,2026/6,2026/7,2026/8,2026/9,2026/10,2026/11,2027/1,2027/2,2027/3,2027/4,2027/5,2027/6,2027/7,2027/8,2027/9,2027/10,2027/11,2028/1,2028/2,2028/3,2028/4,2028/5,2028/6,2028/7,2028/8,2028/9,2028/10,2028/11,2029/1,2029/2,2029/3,2029/4,2029/5,2029/6,2029/7,2029/8,
Percentile 1,347.82544,336.92245,302.8914,279.5336,245.01607,189.89333,139.10028,58.00004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Percentile 10,1444.5945,1779.1609,2125.424,2427.1238,2694.372,2953.0,3209.0647,3429.0303,3642.0981,3881.0764,4092.7664,4286.495,4504.4062,4614.9517,4799.37,4939.978,5115.4487,5252.8423,5422.7075,5526.4414,5680.727,5835.0044,5967.4385,6089.7153,6237.5693,6382.594,6518.486,6604.996,6693.1665,6770.7495,6968.188,7074.485,7177.0454,7261.884,7388.8354,7506.154,7580.4917,7717.3413,7903.0044,8011.7417,8074.4185,8247.37,8344.592,8405.272,8490.16,8511.135,8662.517,8759.537,8881.691,9020.425,9176.476,9242.118,9377.041,9478.116,9564.457,9613.13,9758.006,9918.04,9997.62,10134.2,10195.843,10264.522,10340.784,10444.116,10493.349,10631.762,10607.986,10703.529,10742.101,10926.477,11018.027,11098.189,11152.003,11257.094,11274.706,11326.551,11431.706,11515.377,11581.37,11653.475,11754.704,11861.291,11888.301,11932.038,11994.787,12067.446,12167.821,12287.42,12363.688,12378.707,12504.426,12637.049,12590.421,12651.129,12711.167,12687.145,
Percentile 20,6314.621,6855.4453,7406.3174,7903.33,8383.636,8828.493,9274.088,9777.197,10177.843,10635.502,11010.815,11395.9795,11894.583,12225.02,12618.671,13022.059,13432.657,13825.715,14249.069,14607.545,15049.366,15405.833,15731.088,16092.904,16519.035,16902.072,17250.68,17556.598,17886.59,18174.18,18558.09,18840.35,19105.12,19415.451,19703.49,20057.389,20268.857,20530.135,20966.445,21195.734,21364.338,21735.203,21936.918,22132.959,22306.867,22465.36,22729.77,22971.049,23188.506,23461.367,23823.766,24022.629,24276.777,24558.928,24843.854,25117.39,25333.053,25592.84,25778.043,26007.857,26064.861,26244.617,26436.1,26645.84,26762.062,27066.375,27166.27,27453.967,27562.938,27964.35,28118.078,28246.404,28433.404,28756.975,28860.947,29068.986,29300.773,29486.025,29712.262,29901.045,30153.424,30435.363,30551.209,30789.986,31004.965,31250.434,31503.246,31821.354,31962.832,32181.416,32519.38,32707.012,32648.26,32788.355,32935.082,32849.805,
Percentile 30,27239.46,28899.818,30630.602,32034.893,33411.066,34563.316,35860.14,37260.938,38362.344,39567.777,40319.57,41244.348,42399.938,42996.35,43853.03,44848.395,45609.465,46528.527,47340.49,47540.69,48217.367,48794.844,49278.21,49878.676,50734.67,51439.938,51865.664,52213.824,52817.305,52859.965,53656.645,53881.715,54246.383,54606.355,54954.96,55579.4,55794.48,56511.035,57566.438,57711.062,57606.9,58265.35,58318.477,58433.266,58598.977,58759.742,59339.895,59701.184,60137.562,60807.867,61768.32,62348.242,62785.035,63466.695,64057.035,64462.39,64949.824,65612.414,65689.77,66246.25,66283.164,66438.625,66820.234,67150.39,67371.96,67874.31,67829.24,68573.67,68576.586,69431.984,69703.08,70049.31,70418.2,71201.62,71331.945,71747.836,72291.74,72543.07,72893.49,73239.05,73774.805,74232.13,74263.47,74710.18,75126.14,75492.04,76164.78,76906.36,77197.195,77623.15,78162.305,78587.49,78624.586,79247.47,79477.67,79368.29,
Percentile 40,144066.66,145000.05,145485.8,145376.86,144937.28,144888.66,145393.25,144505.05,144823.98,144891.25,144858.95,144289.48,144636.02,144578.23,144918.97,145331.34,145246.52,145677.39,145956.77,146360.56,146866.12,147130.6,147487.47,148349.72,148926.28,149440.14,149837.48,149958.47,150401.3,150577.42,151185.58,151206.66,151427.52,151788.25,152071.12,152707.08,153187.88,153725.45,154509.17,154818.9,155090.0,155726.6,156086.84,156574.84,156802.98,157238.1,157767.9,158268.4,158784.55,159271.78,160174.17,160792.78,161382.77,162115.98,162640.78,163360.75,163786.22,164578.73,164751.73,165290.3,165689.03,166159.1,166720.64,167030.05,167289.38,167780.52,167934.36,168654.9,168854.89,169605.7,169652.64,169950.02,170508.38,170902.02,171181.97,171504.72,171803.98,172125.44,172353.05,172694.77,172911.94,173210.28,173273.19,173517.72,173927.34,174448.03,174888.1,175603.19,175721.58,176076.53,176440.0,176687.98,176842.55,177020.69,177069.62,176964.33,
Percentile 50,192462.28,193347.69,193745.97,194087.34,194122.95,194267.97,195040.17,195518.81,196157.92,196935.0,197299.17,198099.98,198779.39,199102.73,199870.38,200983.44,201645.03,202415.78,203312.4,204204.53,205001.44,205737.7,206419.77,207648.55,208673.66,209491.92,210254.8,210832.03,211620.77,212123.77,212921.78,213317.88,213873.89,214428.89,215018.8,215952.69,216532.89,217205.42,218123.89,218607.08,219120.05,219803.06,220257.89,220811.44,221364.67,221749.33,222242.56,222596.25,222954.17,223558.81,224554.62,225172.53,225786.52,226457.84,226972.33,227560.39,228334.44,228918.78,229158.73,229809.6,230374.9,230800.47,231107.38,231599.47,232238.03,232663.16,232947.7,233746.23,234105.83,234816.31,235338.5,235930.34,236313.92,237093.06,237644.38,238151.95,238708.08,239184.22,239828.58,240395.81,240906.75,241488.25,241887.48,242286.58,243007.64,243467.52,243944.47,244727.78,245234.52,245929.22,246313.88,247140.78,247530.86,248000.44,248378.98,248521.11,
Percentile 60,235781.34,236763.89,238326.92,239991.78,241332.47,241946.12,243503.12,244612.2,245842.89,247315.48,248403.83,249386.75,250798.6,251721.69,253050.38,254688.28,255931.34,257110.2,258505.83,259713.47,261000.47,262098.73,262992.72,264325.12,265663.62,266866.34,267863.66,268852.44,269842.94,270770.53,271839.56,272668.53,273599.7,274452.12,275272.03,276345.34,277190.4,278255.16,279303.72,280205.84,280856.62,281756.3,282468.56,283111.44,283932.7,284656.34,285132.34,285816.16,286536.62,287230.44,288330.25,289104.28,289995.6,290752.12,291487.12,292238.03,292803.66,293470.16,293865.3,294717.25,295554.84,296047.9,296689.2,297271.16,297874.25,298502.66,299105.88,300144.1,300587.97,301305.78,301963.72,302837.7,303351.84,304194.97,304729.66,305503.22,306118.84,306755.78,307640.4,308482.0,309143.66,309766.38,310370.7,311035.3,311912.44,312558.2,313349.16,314084.62,314871.6,315713.5,316307.38,317073.1,317688.34,318151.62,318511.06,319105.22,
Percentile 70,285344.47,286261.22,288619.44,291306.22,292604.03,293300.56,295349.78,296583.94,298218.38,299615.3,301032.34,302221.56,305640.6,307144.38,309092.2,311145.38,312497.1,313897.9,315834.47,317349.47,318864.9,320671.72,321934.7,323460.03,324989.56,326538.66,327918.78,329167.62,330664.44,331760.9,333161.28,334270.12,335522.3,336563.03,337711.62,338893.1,339996.03,341527.56,342797.84,343851.5,344879.5,346130.88,347230.28,348239.44,349094.6,349950.25,350677.62,351713.6,352799.28,353809.88,355220.25,356618.47,357765.84,359156.88,360067.34,361231.47,362401.47,363129.56,363951.44,365060.12,366431.44,367299.4,368415.16,369294.75,370103.38,370967.8,372088.94,373499.75,374315.12,375467.44,376391.9,377393.53,378305.56,379301.94,380290.2,381289.44,382004.8,383131.12,384218.75,385401.16,386243.25,387231.06,388123.34,389208.66,390156.03,391039.06,392172.6,393451.12,394404.75,395453.4,396380.94,397429.34,398334.78,399018.03,399817.06,400464.38,
Percentile 80,356188.4,357207.38,360832.38,362700.78,363936.3,365104.97,366910.72,368235.53,369970.06,371581.25,372714.12,374447.4,378136.06,379573.84,384035.06,386227.6,387986.47,390029.4,392788.12,394697.8,396871.22,399376.84,401074.06,403263.03,404962.2,407424.38,409028.34,410739.16,412227.38,413737.47,415370.4,416927.0,418649.25,419974.8,421434.9,423202.53,424415.78,425733.5,427101.1,428201.44,429940.75,431220.62,432646.8,434070.66,435546.72,437079.47,437859.78,439634.84,441406.03,442976.16,444991.2,446659.34,448246.53,449955.5,451160.38,452629.03,453995.47,455215.06,456939.7,458393.66,459887.12,461227.53,462599.7,464042.9,465608.4,466930.28,468611.66,470203.12,471411.53,473087.88,474667.4,476112.72,477531.94,479234.6,480730.0,482323.16,483504.66,485067.8,486395.9,487931.75,489381.2,490938.8,492402.66,493959.06,495330.1,496723.25,498446.28,499934.2,501348.75,503142.03,504583.25,506032.22,507291.72,508789.22,510330.72,511982.3,
Percentile 90,508733.56,509259.0,510944.78,512756.0,513983.88,515954.62,517968.28,519457.06,520528.6,525777.94,526866.4,528315.7,534169.56,535715.06,541257.06,543859.44,546932.6,549892.2,553126.56,555559.44,558368.3,561772.75,564530.7,567680.25,570736.25,574117.56,576466.1,578498.5,580489.7,582324.7,584604.75,586456.2,588907.06,591036.25,592820.06,594941.3,597049.7,598316.4,600156.9,601874.6,603756.8,605252.56,607770.8,610092.7,611736.94,614010.6,616096.56,618088.4,619982.94,622197.94,624402.44,626297.4,628379.8,630962.9,632124.94,634104.3,636088.1,637625.0,640430.0,642533.2,644366.25,645858.5,648228.56,650769.94,652957.9,654696.5,657207.2,659786.0,661844.75,663667.56,666207.2,668754.2,670215.44,672823.44,675373.44,677808.4,679415.25,680839.6,682598.0,685501.44,688048.5,690115.3,692439.8,694596.6,697015.56,698850.2,700947.7,703050.9,704953.8,707674.56,709521.2,711386.75,714055.06,715841.75,717834.7,720295.56,
