2025_01_05_T08:08:13 -  finished initateHouses in 0.03459501266479492 seconds
2025_01_05_T08:08:14 -  finished initiateHouseholds in 0.21715497970581055 seconds
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
2025_01_05_T08:08:14 -  All houses for rental were assigned in Palmela
