2025_01_03_T20:48:47 -  finished initateHouses in 0.03279519081115723 seconds
2025_01_03_T20:48:48 -  finished initiateHouseholds in 0.20572710037231445 seconds
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
2025_01_03_T20:48:48 -  All houses for rental were assigned in Sesimbra
