-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,
Amadora,1911.4379720933216,2107.494747846411,2009.5898551382868,1935.2907133662777,1979.9974045997178,2082.441959741346,2069.2381200591053,2106.9280623644167,2013.387149911406,2017.4488458233088,2083.430250541316,2137.4040926314265,2057.8725864374856,2146.6542080438503,2234.0651518895115,2215.4879294108864,
Cascais,2425.2874533403033,2855.8723188123286,2363.4465219659405,2561.546461230643,2737.55477157407,2374.588500428626,2430.323866403794,2730.2604741161595,2692.0600000000004,2485.583348113734,2917.098225163905,2970.348672899655,2726.0615674088335,2801.958861157136,2755.3107262822155,2656.0110086142886,
Lisboa,3010.568586963591,3607.5212753442165,3676.221143175155,3451.644324699271,3632.770950804729,3771.2310118439254,3917.7645607677064,3869.2119149772816,3614.38137372271,3593.4410102375928,3755.526598234499,3750.845272700657,3571.118105343484,3652.4572612472475,3657.5426744783113,3599.0213712380364,
Loures,1774.1765260037025,2037.0518254863546,1889.2981079982678,2020.7088814869726,1796.3372738935452,1899.7469643277275,1872.8387388704286,2001.4650521307092,1612.0795799605253,1917.5039720015538,1845.2447230222633,1860.8975848554494,2054.3447745398535,1950.233109258307,2027.7159574403947,2059.6419484527046,
Mafra,1584.2893356523552,1717.1492948454916,1616.3887977475913,1705.5987096830772,1498.5247077227782,1622.3300787670073,1742.0131799867968,1922.7958092334966,2144.2493613788956,1857.6963849817457,2012.582347847398,2011.913169715951,1781.8474925944336,1983.3407930058324,2097.9643782327485,2181.7327369850623,
Odivelas,1950.8931784072215,2100.3320225216644,2019.3540923694404,1901.1424946614043,1949.7923449265438,1835.9614629135342,2178.5671397109068,2162.589615564133,1989.464885369442,2135.302979503685,2091.0523079734967,2062.6979059800333,2077.274840696082,2160.7948506855373,2235.7177820490197,2184.297925381167,
Oeiras,2243.357306238628,2468.4912818263074,2051.1799647338457,2269.258359996711,2247.440623617681,2234.7354835310553,2340.116041548,2476.542863332706,2469.540928507432,2189.7182324429546,2392.329997899945,2241.5307602801436,2190.5917959889634,2134.2152875353167,2090.833193542207,2413.4732054862106,
Sintra,1448.075384864013,1444.9533236018826,1391.4027644653572,1375.062364192784,1458.9477503180096,1480.3819254577102,1552.7257552030628,1484.79389825399,1545.8450635147515,1705.903387987229,1629.3394890640027,1737.5895712668519,1742.1176536842856,1863.8527933223259,1977.874766004278,2021.8934283279555,
VilaFrancaDeXira,1542.4159391540682,1398.9639137419417,1304.4292500158454,1448.680601985935,1485.4138913837455,1444.9828130634007,1450.3581179498397,1607.6009594462614,1478.8047330878437,1543.3053779662005,1685.2322296004488,1653.656552212941,1888.6771469167297,1978.1119171028686,1963.6511437341032,2031.3917274927112,
Alcochete,1640.2147853975189,1702.0898757247517,1445.2505096324855,1604.0812132706546,1843.978476785243,2004.1181095156362,2078.577623727909,2218.6790917331805,2483.6503727366608,2225.566201881429,2466.8337739012463,2138.47952332734,2663.82454814622,3409.64118,2603.3167760558217,2557.17,
Almada,1919.5733198110674,2122.445319090498,2074.0506962886734,2188.2004655139067,2044.6149536979099,1980.5460982816298,2178.940022596461,2051.3281780058987,2082.8159555595666,2217.317582815652,2068.296057532951,2231.506067153502,2224.2057283472777,2306.3927424266126,2344.002019051706,2342.711493673509,
Barreiro,1194.9088738260803,1260.526680247346,1302.1798362063132,1113.1776168248869,1356.9050046850928,1228.8706891446523,1461.9360580158366,1234.9517095198694,1314.8633852440003,1315.1647347363757,1384.6767681843771,1252.2856575224807,1614.2362406830944,1794.426833972064,1483.1105800155585,1660.7938600536468,
Moita,1045.2425713830246,1061.0516818428634,1169.614539595648,1039.9796741198702,1140.3928717177355,1114.4719914132424,1205.4992551468972,1133.099961130603,1211.9840249062877,1405.963061536081,1248.5403972532222,1305.131937678977,1279.3262761637584,1604.0637935845514,1652.6793927322553,1708.7950256533136,
Montijo,1372.5095071047074,1452.9894242284445,1542.5702587212384,1794.1879569212945,1471.006994609602,1434.7950747377636,1859.4495849749276,2033.9688536916528,1444.9798617153033,1976.0757347107174,1559.9818307221276,1554.9986512524692,1969.8486866346896,2217.125234006983,2236.6044502642844,1888.0616945794143,
Palmela,1268.5441500450763,1296.4694751364634,1438.6910190956416,1463.5741058841836,1594.7193992513924,1420.9600312137702,1615.322370445784,1634.7108315447042,1832.625465973365,2055.9460960904144,1963.1836940401931,2031.920371794336,2149.9869760237248,2322.9163841769328,2361.0405218038513,2176.502324461939,
Seixal,1435.4625308413742,1600.055234216737,1777.6205188748977,1563.9863542109974,1445.864073327763,1474.861022453034,1636.7949783785111,1851.2811468483828,1826.800058582381,1971.8816000710601,2038.478303586448,2067.676915173358,1905.5103307542608,2033.3178524828475,2088.236429984603,2077.3830712314184,
Sesimbra,1443.8916503377561,1430.7513053736038,1686.1019408852967,1498.6300820638396,1608.0241131647613,1589.1667553923767,1753.0096844072493,1666.9748936274577,1681.097891756313,1871.1617754657714,1872.3624336811563,1982.6430966541313,1937.9236922787222,2019.3525817648124,2374.5396185815407,2225.3015457473184,
Setubal,1214.6600229188145,1587.4236906919764,1316.8920835721215,1200.849646778921,1349.925053765827,1617.1402228479053,1248.944391861035,1448.1662330418756,1455.045936156992,1616.6472773203873,1328.1837027661245,1741.8811683315398,1786.4711147606172,1772.8765460362333,2079.1595548299138,1831.7261953811,
