-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,
Amadora,9.517876677129303,10.62406612025011,9.557361929067035,9.338765830887992,9.256339938357195,8.752230548958728,8.742416945001732,8.717525590945987,8.220476331267605,8.354487626614585,7.628869799108176,7.773672385345124,8.277493465050236,8.715821933225898,9.592271137382076,8.43825560953007,
Cascais,11.436683925224363,12.815542866922208,12.223085884888548,11.086873470732776,10.632456853409721,10.273816534251718,10.530390114383207,10.61511588070766,11.083800494833357,11.674099401001675,11.976780208894787,11.20235077073136,11.970102333465801,10.550387289327908,9.340583986407324,11.839876707451996,
Lisboa,12.51463897140191,14.061174825581734,13.846902439024388,13.684807684547815,14.67722985445836,13.695096119038846,12.568728095947344,14.347878425329405,11.708208160873527,11.975342251460448,12.448274536598873,11.49627547262871,9.657006980092067,11.239803396032464,10.666606682813399,10.703113767384117,
Loures,8.902976132109202,10.313626649772768,7.862707173026169,7.613088307424115,7.280489586964092,7.807657952250722,7.060826621568648,7.486182067476131,7.591186013776263,5.935564041530941,5.684579810343638,6.875342618531706,6.99101373071245,5.9363342852542935,5.750084407793786,5.68934148537303,
Mafra,7.931275590355246,6.299588633580001,8.188099933164455,6.922510702796108,6.4897751500708765,5.96880498121054,7.2247703041459275,4.864478019477665,5.486182412116301,6.104943229046169,7.284332573008301,7.1144493368432835,5.332470931813998,5.348045585891324,5.601448994531218,8.829260127350214,
Odivelas,8.923671911884963,8.80198350585444,8.540555793747057,8.68170616725452,7.427760691063981,6.522362700968292,8.040668132473117,8.218737862445774,7.069628053249916,7.741443638689935,7.632901295848485,7.563293474287114,7.45274543988874,7.224017634414583,7.291237863044521,7.091770805099659,
Oeiras,8.007064932907825,9.072191378707844,7.118269829945602,6.20801999248095,6.683894687683717,6.808538164769483,6.19226633759498,6.394207614444053,5.8903280170774615,5.861085373790634,6.620609869399841,5.539727055831343,5.650456662515774,6.123641948725415,6.0508606242410305,9.291042789172826,
Sintra,8.09626535664569,8.204994229900594,7.753542050398007,7.270450912297527,7.204031745193982,6.024840794081129,6.54646389078534,7.30362439560756,7.113060189987308,7.332282225038202,5.956718869067343,6.8167935291987325,6.682311786881321,6.493485869849697,6.501320016202897,6.275624748623623,
VilaFrancaDeXira,8.007532663994615,7.128122081413093,6.559857088966408,6.181579480828117,6.142352904489982,5.969353820287931,5.702742348922615,5.557658753903008,6.612657189136667,5.441652722084482,5.419692081427774,5.343507816345947,5.0649516414789915,5.210472599332474,5.02771627332774,4.7479494046199555,
Alcochete,7.376287072876054,6.25104779600268,6.079782786862804,7.427176643837471,5.467421781522562,5.55253275242632,5.403880304687806,7.328897235243588,8.035211843502049,6.672361560413814,6.01603899823348,0,8.846906971714326,0,0,0,
Almada,9.479175679572895,9.189032019681925,9.043172056047915,9.17535443678161,8.916859940434083,8.760459669489466,8.79386281213841,8.960271370034839,7.956459215023474,8.300662494177903,6.805662950146291,8.693984968877658,9.024077082774898,8.892168750874209,9.399506153369018,7.428192517447135,
Barreiro,7.093656970670806,7.101058450469692,7.099966776806187,6.42436587213923,7.316727254315789,6.599267127339649,6.767739258636672,5.617618334557196,5.2275791978679305,6.388870305285758,5.485108194428657,6.098521995918994,6.008804472551807,5.463524249338154,5.4945580778588905,6.714428543961343,
Moita,6.593695505453331,6.529525537793262,6.154847017544391,5.5867285641920645,6.785634544208445,6.346350714348908,4.815694302926041,5.387213802483029,6.221112682879141,6.137670542232491,5.694469146197939,5.522709290639509,5.732706213896829,5.802845096609638,5.271926567688939,5.80580427336352,
Montijo,7.135296797622825,7.337845180812755,6.545468886293494,6.1868415998522295,6.703252251799746,5.57545568164067,5.593110739691608,5.747227287426565,5.6130479515711,4.170170539674999,4.6849662848920115,4.20726705524514,4.5586373557663435,5.123541099564901,8.252082482547735,5.226481988433164,
Palmela,6.2472882009483,7.525348439469042,7.597766793267634,5.617346148821634,5.765453583249766,6.949535603146948,7.46714917762543,9.356195018098187,6.570532436460272,8.374923928717324,9.546337123063513,0,0,7.298208901125888,7.339234605843681,8.187891901102326,
Seixal,7.899556668508033,8.115222256463149,8.049316344524765,7.918368033272212,7.079056573129682,7.223108076047266,6.961880538169289,6.353916908001806,6.1685906262444705,6.7133583662084275,6.627604652946284,5.6984404729874605,5.768278461508665,7.093543851141081,6.9424709660537385,7.237448428158137,
Sesimbra,6.031934250862806,5.96765276113248,5.657636661795431,6.022174175780775,4.108867100359654,5.848731696812986,6.210766783654551,4.652459902343399,4.09902566154601,5.032891672979732,4.813448669927325,4.907071520151208,5.079498195470718,3.5955609928152894,6.258547816642215,6.102741058391069,
Setubal,7.779514099261224,7.4374436839854585,8.36040850051516,7.414006279542056,5.952606244496837,6.971633022722285,6.724896249403856,6.525847301814929,5.687505827209124,5.1324369347021666,5.660119204732771,6.433957927517044,6.092275729508793,6.040528949311725,4.854754736433687,4.784802909247122,
