2025_04_05_T18:06:56 -  finished initateHouses in 0.3885641098022461 seconds
2025_04_05_T18:06:57 -  finished initiateHouseholds in 0.5270841121673584 seconds
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
2025_04_05_T18:06:57 -  All houses for rental were assigned in Seixal
