-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,1761,1560,1536,1584,
Cascais,2568,2707,2721,2776,
Lisboa,3078,3421,3472,3375,
Loures,1865,1845,1742,1803,
Mafra,1639,1607,1760,2208,
Odivelas,2081,1995,1960,2043,
Oeiras,2400,2395,2236,2094,
Sintra,1466,1414,1318,1395,
VilaFrancaDeXira,1427,1377,1322,1305,
Alcochete,1499,1748,2022,2536,
Almada,1863,1967,1882,1806,
Barreiro,1185,1244,1432,1453,
Moita,1002,945,985,993,
Montijo,1428,1551,1534,1576,
Palmela,1222,1416,1227,1725,
Seixal,1398,1549,1641,1884,
Sesimbra,1424,1312,1601,1499,
Setubal,1402,1388,1202,1276,
