-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,355,124,59,44,47,37,34,19,24,14,19,17,
Cascais,234,101,54,47,36,30,32,29,20,26,26,17,
Lisboa,845,215,106,104,89,109,73,61,56,46,30,38,
Loures,318,98,68,49,35,28,30,28,21,20,9,10,
Mafra,89,42,25,17,12,14,13,6,8,6,5,8,
Odivelas,179,70,49,27,25,37,14,16,11,10,12,13,
Oeiras,234,110,69,34,32,19,15,15,23,14,16,9,
Sintra,556,154,94,58,61,56,43,45,28,31,30,33,
VilaFrancaDeXira,162,66,32,24,24,25,24,21,17,13,8,12,
Alcochete,15,7,9,5,4,4,2,3,2,6,2,3,
Almada,299,110,76,49,50,29,22,19,14,16,16,25,
Barreiro,119,49,30,20,21,17,15,18,15,11,6,12,
Moita,96,48,33,19,17,12,13,6,10,6,8,7,
Montijo,93,45,14,12,9,10,9,7,5,4,4,3,
Palmela,66,28,15,14,6,5,5,5,3,6,7,5,
Seixal,188,71,42,29,19,16,16,16,10,15,14,13,
Sesimbra,40,19,7,7,7,7,1,6,3,1,1,2,
Setubal,177,71,38,22,21,18,13,19,14,10,22,9,
