-,2021S1,2021S2,
Amadora,9.654228418769073,8.713544006105783,
Cascais,11.582074081386535,11.330087985519077,
Lisboa,12.602371519637142,13.06120236651654,
Loures,8.351912980789127,7.001114404460175,
Mafra,7.97972990897103,6.600773766754152,
Odivelas,8.777775995328824,7.94864261210632,
Oeiras,10.986795381185367,10.16508171662511,
Sintra,8.015557899352,6.68886287816975,
VilaFrancaDeXira,7.385433581931061,6.275135912946692,
Alcochete,6.173205212404109,5.618161624806415,
Almada,9.234854640524645,8.091502936793601,
Barreiro,7.470836817558654,6.9993448696580005,
Moita,6.3990235992709055,5.743345535879643,
Montijo,7.362456606472903,6.68927670668925,
Palmela,6.935893596923622,6.016307676622713,
Seixal,7.346222190371839,6.091879481582901,
Sesimbra,6.058916127517172,5.733413867802432,
Setubal,7.196331805930207,5.937807063691983,
