-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,
Percentile 1,2039.0884,2028.9935,2006.2678,1941.3323,1975.5128,1955.6908,1954.4546,1946.6396,1934.2134,1927.1156,1915.237,1895.2405,1824.706,1811.3618,1789.2676,1729.565,1715.7556,1688.8507,1680.8408,1624.0901,1621.693,1589.2351,1573.8995,1559.8832,1539.6852,1514.4869,1488.8256,1504.7292,1451.6501,1472.3547,1477.6792,1457.2285,1471.6426,1477.8899,1442.4353,1420.3795,
Percentile 10,2371.3198,2332.4429,2294.2314,2323.4995,2289.22,2298.2546,2277.7458,2290.7024,2258.0354,2251.9492,2317.185,2225.2456,2128.4075,2157.7007,2108.8494,2067.9424,2054.043,1964.4346,1978.5931,1906.8141,1866.5613,1885.887,1820.711,1810.6865,1781.9589,1831.1196,1811.0847,1806.4971,1782.4854,1806.9547,1766.4607,1773.9528,1844.6895,1895.3732,1872.3503,1836.0687,
Percentile 20,2595.1838,2613.8936,2572.9492,2540.7527,2534.8596,2557.853,2552.737,2572.475,2551.2021,2565.1797,2708.4133,2560.354,2442.0752,2454.1267,2403.2363,2390.1426,2377.5173,2256.5532,2314.2642,2083.2332,2170.4604,2137.5825,2092.6409,2162.5098,2092.0256,2152.7456,2175.8796,2106.7373,2030.1545,2089.0264,2039.4733,2046.0078,2193.38,2208.2544,2227.1514,2140.7444,
Percentile 30,2833.3833,2885.2288,2836.922,2837.5044,2797.4006,2880.226,2945.3333,2915.6685,2871.5981,2900.9348,3086.0942,2877.7483,2787.6948,2814.494,2768.9116,2690.323,2789.5078,2550.834,2610.5032,2428.3816,2485.5986,2458.3462,2421.1016,2524.3535,2434.882,2506.0457,2632.0813,2483.2976,2403.2573,2376.2112,2491.6833,2445.8977,2564.5706,2551.8508,2582.0522,2447.1028,
Percentile 40,3142.9055,3093.2896,3033.0977,3034.9585,3085.937,3144.4192,3228.1482,3298.7302,3177.3289,3179.901,3346.678,3171.35,3121.9724,3080.2366,3100.8813,3068.1035,3157.651,3063.199,3069.8293,2972.2917,2954.8472,2872.5916,2882.6482,2944.4775,2735.865,2866.1719,3009.7854,2799.3901,2671.1594,2764.6538,2826.5261,2836.8982,2852.411,2905.5674,2877.7886,2693.838,
Percentile 50,3398.9746,3326.6865,3276.991,3280.1902,3348.9502,3415.9502,3479.3987,3590.0334,3442.4734,3546.4868,3737.937,3436.402,3424.899,3377.3171,3386.9563,3353.845,3523.6055,3470.8123,3427.9497,3379.0232,3304.7173,3243.4573,3292.0354,3263.9875,3170.1514,3214.113,3423.6062,3133.9624,2961.7236,3141.726,3141.0579,3207.7268,3159.2734,3259.3237,3176.0305,2988.5308,
Percentile 60,3860.5706,3582.921,3473.126,3560.758,3658.966,3756.8967,3830.9744,3909.5286,3737.8357,3869.697,4046.7205,3808.677,3774.537,3841.9246,3748.872,3679.6807,3798.7073,3733.0986,3826.7017,3861.2354,3712.1426,3582.6538,3574.3591,3542.136,3473.2993,3484.897,3958.1116,3435.7761,3309.2244,3493.8623,3462.215,3543.0955,3471.5945,3669.6567,3500.924,3292.299,
Percentile 70,4260.3564,3909.431,3710.6033,3778.8196,3913.2168,4063.7935,4156.0723,4106.935,4034.5925,4147.1567,4248.638,4047.37,4076.349,4234.4385,4178.008,4119.8486,4172.43,4054.2983,4117.182,4240.2915,4101.4414,4024.2144,4028.604,3944.2417,3961.9133,3942.8645,4233.3403,3858.3557,3678.9216,3966.1006,3881.1108,3975.5798,3966.5461,4046.8457,3929.4832,3679.2126,
Percentile 80,4505.4062,4313.0635,4235.1396,4024.9358,4178.5366,4282.937,4299.8447,4333.367,4230.2534,4340.477,4428.589,4307.736,4337.8193,4457.3203,4459.375,4391.737,4476.4644,4369.77,4370.464,4505.873,4411.2715,4393.7173,4406.8994,4398.088,4332.1753,4263.599,4532.378,4270.6484,4217.601,4309.983,4194.9136,4341.283,4455.689,4351.4873,4260.693,4128.859,
Percentile 90,4668.3345,4663.8833,4669.0728,4397.369,4457.3496,4519.505,4440.8384,4526.4595,4443.2065,4520.009,4601.0034,4574.7183,4646.129,4684.5293,4708.9033,4687.5435,4720.66,4683.0874,4668.477,4744.2134,4688.914,4698.274,4678.5454,4644.9517,4638.6587,4591.631,4749.816,4553.828,4561.794,4579.1323,4577.013,4644.4897,4688.1987,4608.487,4582.846,4662.8833,
Percentile 100,4887.8076,5104.911,5133.586,5139.205,5156.054,5096.4355,5079.359,5128.671,5110.582,5222.179,5158.694,5128.3857,5163.094,5099.895,5073.8594,5155.14,5098.5312,5147.1553,5138.5933,5180.842,5136.896,5115.7676,5091.508,5124.2295,5092.9487,5009.1846,5079.701,5091.5625,5132.355,5025.5054,5042.0645,5163.0376,5166.0215,5066.34,5075.197,5037.9067,
Average,3508.294,3421.848,3366.8274,3315.3228,3377.62,3447.1997,3465.6245,3498.3884,3420.3362,3477.1594,3604.1245,3452.6885,3413.5767,3449.5288,3430.3015,3389.6147,3444.386,3356.292,3376.719,3344.9653,3299.4683,3260.0671,3248.1938,3260.9146,3183.356,3206.9421,3380.4617,3168.1348,3080.5579,3181.8066,3163.485,3212.188,3245.8215,3276.7258,3220.7485,3103.1335,
