-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,2024/4,2024/5,2024/6,2024/7,2024/8,2024/9,2024/10,2024/11,2025/1,2025/2,2025/3,2025/4,2025/5,2025/6,2025/7,2025/8,2025/9,2025/10,2025/11,2026/1,2026/2,2026/3,2026/4,2026/5,2026/6,2026/7,2026/8,2026/9,2026/10,2026/11,2027/1,2027/2,2027/3,2027/4,2027/5,2027/6,2027/7,2027/8,2027/9,2027/10,2027/11,2028/1,2028/2,2028/3,2028/4,2028/5,2028/6,2028/7,2028/8,2028/9,2028/10,2028/11,2029/1,2029/2,2029/3,2029/4,2029/5,2029/6,2029/7,2029/8,2029/9,2029/10,2029/11,2030/1,2030/2,2030/3,2030/4,2030/5,2030/6,2030/7,2030/8,2030/9,2030/10,2030/11,2031/1,2031/2,2031/3,2031/4,2031/5,2031/6,2031/7,2031/8,2031/9,2031/10,
Percentile 1,1255.8367,1276.234,1119.7185,1133.4314,1180.9319,1214.0156,1105.9147,1164.7529,1120.8342,1110.3743,1101.8853,1110.0527,1120.5326,1106.8478,1102.7007,1207.7057,1121.9729,1053.9493,1079.539,1058.4667,1139.3911,1035.2592,1116.2542,1102.4789,1436.6144,1091.8234,1296.9299,1125.2507,1163.1465,1175.3828,1065.3044,1212.4567,1148.3809,1052.6117,1110.124,946.8822,1073.4268,929.2105,1138.036,1184.1328,1138.6846,1302.4424,1192.8262,1231.9899,1211.0405,1192.6274,1080.897,1229.1542,1138.7281,1227.0723,981.8607,1187.3845,1095.4524,1271.2861,1228.3049,1116.3558,966.3889,1051.3403,1212.458,1256.0471,1243.8116,999.5064,1110.5574,1089.8528,923.29205,1122.4196,1007.44617,1002.32605,1082.449,1136.0822,931.5045,1017.8866,1031.4265,966.716,978.88654,916.3611,1127.1447,1032.5613,1020.55615,1113.4999,1025.8715,1071.6133,984.6556,1092.1987,1072.9979,1126.4131,1188.7108,1054.2272,1170.2173,1166.885,1091.9572,1097.0422,1099.1047,1128.0331,957.8624,1045.6449,1034.7257,1099.8251,928.2573,1083.0284,1125.6407,953.94434,1111.7194,951.27,987.5494,942.4747,1141.7291,1032.8704,996.4191,977.3238,930.86743,903.42267,913.0882,1133.8435,1018.14764,988.2322,1147.387,936.191,1069.7961,1005.96136,
Percentile 10,1531.3041,1452.1918,1392.138,1279.6235,1299.9312,1344.9836,1197.2224,1292.359,1242.3671,1212.1395,1189.1061,1192.4554,1225.589,1483.9691,1131.2522,1488.2635,1246.3064,1154.7935,1207.1914,1190.7018,1337.0227,1265.3645,1406.5607,1402.5444,1570.0746,1372.8925,1715.2677,1378.1888,1297.504,1309.3434,1146.1727,1780.5852,1342.3193,1420.2228,1287.7635,1347.9198,1246.2672,1349.4396,1218.7703,1363.3125,1364.1755,1413.2006,1337.4124,1386.4869,1309.9229,1401.0118,1428.0662,1354.8198,1399.1831,1454.8899,1457.6068,1313.4003,1480.101,1393.3868,1475.3572,1301.7899,1394.5695,1358.4928,1429.9044,1452.2942,1424.9924,1363.7037,1685.579,1455.1135,1613.1996,1436.9666,1388.4308,1316.2396,1249.9489,1343.3601,1371.3687,1504.9838,1414.186,1333.615,1434.4216,1324.9133,1305.2009,1618.1594,1145.4512,1328.4275,1453.405,1398.1252,1272.6008,1291.7644,1701.0919,1371.4155,1343.999,1653.9592,1600.5719,1396.098,1419.975,1451.398,1342.2354,1441.6194,1425.2064,1355.1876,1369.3805,1350.7137,1551.5956,1419.4454,1348.0033,1285.7067,1353.1802,1336.1805,1446.3209,1489.3428,1435.254,1284.679,1279.9326,1351.6066,1239.7856,1111.0042,1303.3048,1418.9689,1201.6555,1183.337,1365.2518,1216.8168,1332.7742,1251.9745,
Percentile 20,1790.9536,1613.1256,1489.3413,1485.8248,1395.1344,1509.7513,1338.8378,1368.5165,1381.0463,1305.4352,1312.9241,1281.4366,1514.348,1748.4559,1378.9343,1540.1644,1482.9159,1481.8068,1469.5497,1835.5479,1671.0911,1440.5435,1583.2324,1553.795,1783.908,1779.2594,1844.2617,1676.4681,1538.9025,1464.6932,1415.432,2072.339,1746.0105,1627.5793,1536.8392,1670.6101,1408.5233,1839.9043,1393.883,1536.6606,1736.5696,1709.8763,1465.6528,1475.3413,1928.6971,1658.7451,1582.1523,1441.8844,1708.065,1924.5856,1758.512,1492.2051,2092.9534,1758.6035,1870.0308,1532.1594,1884.0061,1520.3804,1604.5532,1953.0093,1770.8743,1809.8008,1979.6615,1841.9932,2047.7003,1595.4452,1707.4056,1745.9199,1433.851,1777.4885,1769.7805,1802.6416,1722.9264,1555.2172,1842.2843,1690.446,1661.8057,1866.6631,1451.0358,1677.5476,1884.9159,1810.0043,1690.0376,1867.8473,1943.0648,1922.2726,1679.1738,2015.85,1926.9596,1836.3721,1862.3132,1987.8816,1676.3934,2001.0773,1924.8596,1715.8502,1664.0259,1669.0415,1931.269,1844.1875,1610.8151,1502.7589,1659.9031,1792.6282,1750.3027,1821.1191,1770.411,1698.4438,1511.5566,1679.9808,1483.4438,1354.7848,1505.7048,1587.3972,1444.2257,1406.6735,1718.8765,1502.5735,1578.4908,1501.9418,
Percentile 30,1847.5612,1718.9297,1593.0233,1601.2938,1484.8964,1687.2974,1625.5488,1510.4094,1459.7063,1458.4973,1490.0302,1816.414,1823.0111,1850.1234,1429.628,1792.0039,1823.6526,1678.2347,1743.0104,2028.732,1764.9431,1793.9801,1760.23,1796.5847,1884.3683,2088.867,1989.3099,1866.397,1854.8167,1767.018,1687.2231,2421.3252,2161.27,2092.8596,1995.0057,1895.006,1574.6698,1997.4349,2001.0795,1562.5016,2112.6987,1940.9447,1858.4297,1799.2529,2065.025,1971.4177,1801.2568,1878.8025,2108.879,2080.3926,2084.7415,1789.1754,2275.81,2101.7366,2164.5146,2135.8274,2466.9917,2000.4586,2039.8894,2293.8792,2174.7126,2121.7002,2302.543,2111.9744,2397.7964,2005.6965,1911.013,2003.8607,1799.021,2059.6326,2075.352,2094.1116,2164.4185,1976.3182,2146.6008,2200.8237,1900.9427,2098.2258,1825.8298,2104.4626,2087.5703,2004.569,1842.6707,2244.2947,2218.475,2166.2454,2027.3832,2323.1436,2165.8232,2000.3607,2088.3154,2254.3887,2084.4648,2414.7458,2160.9756,2026.7836,2108.61,1982.8668,2109.519,2144.2834,2034.5787,1855.4398,1832.1469,2100.273,2009.5247,2098.4055,2014.9224,1944.0791,1835.8627,1941.5804,1621.1545,1729.0913,1683.0494,1962.3528,1758.8921,1688.7451,1975.2245,1733.431,1815.0925,1824.9742,
Percentile 40,1992.4326,1828.6292,1790.872,1698.3528,1601.2666,1975.5781,1981.1313,1595.4817,1823.096,1749.1427,1657.372,1955.541,1987.4598,1977.1177,1745.1705,2090.467,2010.4221,1879.7006,1896.1389,2151.591,1903.515,2054.6768,2012.2802,2078.637,2076.6997,2318.0847,2139.2842,2011.1152,2170.0862,2018.681,1917.3745,2905.089,2469.1758,2229.0098,2253.6826,2125.432,1827.5072,2250.072,2076.426,1787.2964,2232.17,2155.8162,1988.1096,2078.708,2762.2908,2155.1638,2227.5732,2213.0247,2412.1055,2115.8218,2354.6553,2126.2546,2938.7588,2821.5098,2437.9373,2702.708,3015.1938,2154.8152,2859.569,2881.8054,2441.3801,2274.2622,2824.3188,2485.5642,2891.675,2373.099,2389.0503,2200.9912,2259.9631,2249.2065,2291.8289,2735.6514,2648.5017,2349.9282,2782.0562,2616.9866,2152.599,2357.6875,2094.117,2373.3232,2416.0637,2156.9868,2134.4534,2607.9224,2498.7969,2662.1802,2282.2256,2705.7786,2376.0723,2487.2634,2317.2866,2965.2263,2562.0208,2867.7542,2709.3765,2634.7642,2760.7517,2202.5483,2436.5107,2445.534,2297.526,2244.2754,2121.0662,2906.5413,2428.1719,2551.0872,2673.2454,2203.6775,2067.6677,2326.2134,1941.8333,2004.8739,1944.5402,2273.5376,1906.917,2006.688,2305.5718,2150.2512,2061.0964,2056.6943,
Percentile 50,2102.5676,1973.4772,1858.5841,1739.8809,1917.843,2076.4348,2093.206,2047.9081,2016.9528,1968.4086,2068.0464,2517.4685,2149.4065,2237.0442,1891.1194,2468.818,2649.522,2102.1682,2192.1475,2680.5505,2177.7769,2280.408,2627.3538,2448.1582,2122.391,2771.4353,2529.5688,2190.9688,2810.7705,2302.9912,2166.852,2972.2048,2868.2102,2805.352,2785.7607,2882.587,2070.2432,2835.0444,2290.13,2101.6902,2681.0427,2506.918,2271.1226,2766.8984,2950.3762,2825.2607,2885.0605,2710.6309,2902.1504,2327.3604,3023.0496,2355.455,3090.5605,3038.8691,2831.7556,2944.7222,3094.301,2577.4795,3119.0618,3001.0635,2993.6077,2989.9707,2989.8884,2956.205,3048.4346,2770.0823,2895.6108,2731.1008,2757.6274,2609.374,2984.7214,2971.868,2963.972,2866.035,3035.601,2906.078,2314.0244,2727.8794,2631.7327,2952.591,2772.136,2626.3298,2694.9702,2924.7158,2944.4517,2923.746,2848.8665,3004.8774,2958.498,3022.6306,2673.3938,3078.7136,2997.224,3029.6938,3025.3567,3047.853,2999.8306,2766.641,2906.7737,2914.3618,2931.2786,2739.5386,2625.533,3024.803,2821.8552,2932.9265,2905.9783,2883.7021,2630.68,2721.1328,2245.5115,2271.8472,2283.4048,2705.0994,2281.016,2267.1572,2618.7434,2654.3867,2578.2668,2268.382,
Percentile 60,2274.2432,2183.9858,2131.2566,1840.127,2235.2273,2333.766,2236.1313,2181.846,2511.8079,2392.6099,2461.2043,2609.914,2674.2087,2478.155,2295.722,2710.461,2726.3167,2319.4172,2338.4966,2832.1873,2547.7822,2704.7166,2842.9778,2747.671,2479.4204,2887.2783,2871.4832,2833.5623,2875.562,2645.578,2708.8071,3089.0667,2931.2776,2936.3723,2976.2278,3071.1067,2285.8118,2893.9482,2705.1223,2369.5156,2890.3384,2829.0542,2552.5283,2968.954,3042.416,3030.4062,3065.4836,2966.9297,3036.4246,2937.6921,3103.8352,3020.5918,3147.5923,3108.5623,2961.398,3041.1763,3155.6936,3084.2354,3150.2236,3083.3594,3108.0032,3080.8447,3098.608,3119.5925,3129.7822,3018.2874,3057.7366,3094.2668,3010.9495,2956.7676,3120.744,3036.096,3052.4172,3028.164,3091.6973,3074.7698,2802.9155,3001.7625,2924.3164,3072.5576,3016.136,2954.6626,2920.2104,3060.8716,3041.7043,3118.8452,3127.145,3098.1553,3135.8489,3164.5732,3065.7717,3136.2236,3124.4834,3157.1187,3130.283,3137.963,3107.7124,3001.4543,3066.5166,3024.8132,3047.874,2988.62,2905.9714,3117.4653,3033.7336,3019.4202,3075.0962,3068.5728,2959.1978,2987.4106,2694.0022,2802.8516,2835.7944,2911.9207,2683.2751,2621.893,2755.4182,2779.643,2774.7424,2665.608,
Percentile 70,2451.3103,2282.0083,2254.7458,2382.237,2509.1492,2519.0017,2465.2214,2475.9492,2698.9448,2669.969,2660.2058,2725.853,2799.3862,2682.4358,2545.458,2917.2317,2842.9834,2807.783,2641.1245,2966.2717,2820.0942,2817.5369,2958.9087,2954.5955,2733.239,3083.0813,2929.6096,2987.6145,2950.808,2841.4094,2957.5706,3152.0706,2995.63,2994.1194,3070.1758,3123.019,2915.9885,3002.1826,2860.1262,2852.175,3038.7395,3002.2527,2987.1372,3037.6362,3105.0356,3153.1821,3108.8635,3081.605,3127.0586,3100.3442,3192.1416,3063.2705,3231.3362,3168.121,3129.6423,3090.8147,3250.0298,3148.1912,3190.0798,3163.009,3146.723,3189.0637,3146.2627,3167.9558,3178.5325,3163.686,3152.7314,3147.2827,3120.038,3107.2646,3165.0981,3119.3074,3153.9578,3150.2625,3145.4922,3161.9768,3034.3967,3120.9802,3037.4402,3151.579,3194.7605,3068.7734,3050.4702,3136.0554,3145.4946,3205.668,3195.8613,3209.1921,3199.498,3215.0234,3161.2734,3205.512,3248.1575,3234.59,3221.2585,3184.6362,3153.2864,3099.6836,3151.1975,3110.0754,3160.1238,3146.7993,3147.3591,3195.534,3179.6868,3129.296,3171.439,3142.5325,3020.4724,3086.7847,2917.7976,2963.5576,3075.5605,3098.84,2931.6345,2825.6157,2922.234,2939.9275,3002.5308,2779.6206,
Percentile 80,2510.1191,2445.3105,2465.2393,2477.1677,2626.6936,2602.5276,2648.5933,2696.735,2767.915,2756.7634,2682.3835,2834.169,2868.431,2882.6987,2818.3472,2970.745,2993.0466,2907.6057,2844.2026,3035.0042,2932.0146,2957.7632,3068.345,3131.4058,2813.5645,3146.2808,3117.7104,3151.9375,3039.2754,2989.2437,3071.81,3175.6626,3062.189,3092.831,3161.2112,3183.184,3082.186,3113.974,3063.7678,2942.832,3211.6973,3144.1716,3140.8218,3121.3005,3198.3154,3218.324,3186.3633,3203.822,3217.366,3225.433,3242.272,3173.4673,3290.1426,3238.3877,3214.377,3137.276,3291.2014,3219.677,3265.3914,3242.0735,3215.798,3258.6292,3209.7188,3220.424,3265.8672,3253.3564,3206.326,3228.533,3220.9246,3178.1484,3272.1892,3213.6067,3240.7566,3218.9763,3209.3347,3226.0603,3171.635,3229.2686,3229.0923,3210.6663,3246.022,3144.1357,3170.0203,3198.9084,3221.2776,3266.9211,3281.033,3293.9026,3283.546,3247.1604,3250.4211,3263.4429,3294.761,3324.362,3262.5544,3282.138,3261.5364,3199.7246,3251.375,3208.2388,3228.809,3220.2693,3209.547,3273.4714,3238.0693,3240.598,3249.8132,3205.6858,3158.5015,3173.8857,3095.2163,3111.757,3241.6013,3254.5117,3154.2712,3133.6248,3101.5186,3139.252,3139.8425,3042.9158,
Percentile 90,2562.316,2498.0378,2538.1128,2525.668,2732.6895,2719.4092,2759.1682,2785.8171,2834.5627,2911.638,2758.372,2906.6528,3008.2834,3001.4614,2943.7966,3018.7266,3106.816,3002.305,2924.8628,3070.836,3061.3604,3150.6816,3153.5117,3177.798,3062.4421,3175.8796,3219.7507,3213.3376,3239.703,3157.5813,3213.4216,3238.2632,3169.669,3202.2395,3257.242,3267.8096,3270.7837,3195.5447,3226.7463,3099.6565,3303.8716,3184.871,3257.647,3190.9446,3317.1987,3272.148,3294.345,3257.9316,3317.3252,3267.61,3287.6548,3295.8787,3338.7246,3286.707,3334.6584,3294.6997,3350.01,3329.3,3359.1667,3338.4263,3324.9392,3282.3235,3286.0154,3316.6575,3345.8555,3323.2273,3311.1177,3309.6545,3298.0986,3298.5457,3322.9731,3281.7832,3323.6177,3308.1826,3305.3088,3291.3584,3292.6428,3328.9885,3315.853,3313.3223,3347.3208,3264.7522,3261.0515,3289.5393,3332.6172,3342.247,3352.6958,3378.129,3365.9749,3376.2703,3350.96,3408.6604,3366.2346,3386.1272,3344.8967,3380.2334,3419.862,3301.5125,3375.4678,3331.1934,3363.0396,3293.4985,3313.6377,3353.1453,3322.594,3328.0688,3342.495,3288.7744,3273.1284,3251.3594,3254.882,3242.2795,3340.236,3364.69,3231.9473,3237.2642,3209.0342,3223.4653,3285.8274,3275.985,
