step,count_supply,gov_wealth,construction_wealth,company_wealth,bank_wealth,calculate_houses_prices_perm2,supply_volume,demand_volume,calculate_prices_in_supply,irs,vat,irc,subsidyRate,salaryRate,births,breakups,deaths,children_leaving_home
0,0,1.2e8,4.0e7,7.0e7,8.0e7,NaN,0,0,NaN,0.3,0.15,0.2,1.0,1.0,0,0,0,0
1,325,1.2243003441021599e8,3.72465e7,6.96218719578867e7,7.187252065921934e7,1695.3428995975662,448,512,125956.7076923077,0.3,0.15,0.2,1.0,1.0,7,0,0,4
2,350,1.2219404748627868e8,3.7163e7,6.928097895557135e7,6.517294591031899e7,1768.588683449281,426,492,114647.91128571436,0.3,0.15,0.2,1.0,1.0,13,0,1,16
3,300,1.2194407250642617e8,3.71005e7,6.89355788364028e7,6.156199451808958e7,1773.176977086428,353,420,105879.17676500001,0.3,0.15,0.2,1.0,1.0,19,0,3,26
4,279,1.2184520711171934e8,3.68975e7,6.858733889972535e7,6.0110864143397704e7,1764.5391301767336,303,375,99916.23972048402,0.3,0.15,0.2,1.0,1.0,24,0,4,37
5,257,1.2164984996308678e8,3.6797e7,6.824607789080155e7,5.8704916224241294e7,1743.0476413970216,285,360,92979.45739697803,0.3,0.15,0.2,1.0,1.0,30,0,7,41
6,249,1.2135510914937429e8,3.6797e7,6.791089061309133e7,5.808644034366232e7,1731.0060267706353,262,337,90584.08546032614,0.3,0.15,0.2,1.0,1.0,36,0,10,56
7,242,1.2132435640652622e8,3.6544e7,6.75542807036153e7,5.7292915615651965e7,1720.265165365222,254,334,90433.77374956763,0.3,0.15,0.2,1.0,1.0,46,0,13,65
8,229,1.210749754971999e8,3.65115e7,6.720489815076065e7,5.6197955469525486e7,1709.2873468242094,245,326,87885.06835910497,0.3,0.15,0.2,1.0,1.0,56,1,15,80
9,223,1.2123354710434306e8,3.60805e7,6.685791392456637e7,5.559909777172294e7,1702.2034649346704,232,323,86892.99867167023,0.3,0.15,0.2,1.0,1.0,59,1,17,84
10,220,1.2095782505883107e8,3.60805e7,6.65107322333261e7,5.5201218285211906e7,1697.5876051259443,228,317,85706.37988239244,0.3,0.15,0.2,1.0,1.0,67,1,20,90
11,208,1.2068252157667634e8,3.60805e7,6.61560294344438e7,5.40708567957658e7,1688.0911271928362,225,314,83440.93243213286,0.3,0.15,0.2,1.0,1.0,70,1,23,103
12,201,1.2061039141764414e8,3.58845e7,6.579887099992294e7,5.357875248916189e7,1682.2821939855587,209,305,81737.24162023103,0.3,0.15,0.2,1.0,0.95,74,1,24,106
13,195,1.2023228051225209e8,3.58845e7,6.557271459936332e7,5.2869711548443675e7,1675.0173515352797,205,300,80147.90229464626,0.3,0.15,0.2,1.0,0.95,79,2,27,119
14,190,1.2008221365337253e8,3.56625e7,6.5340868234040216e7,5.2634909605090685e7,1670.0717527533445,198,300,78915.17497161208,0.3,0.15,0.2,1.0,0.95,85,2,29,125
15,186,1.197962156580163e8,3.558e7,6.510539430535049e7,5.242228921756611e7,1665.7323220284927,192,296,78076.96485232284,0.3,0.15,0.2,1.0,0.95,91,2,31,135
16,181,1.1952942013399036e8,3.5485e7,6.4863829794199705e7,5.203691018719736e7,1660.267912346346,188,294,76512.58149678104,0.3,0.15,0.2,1.0,0.95,96,2,33,138
17,177,1.1955054486692919e8,3.5101e7,6.462483253918016e7,5.173024004064459e7,1655.9608019506388,186,289,76125.40005339886,0.3,0.15,0.2,1.0,0.95,100,3,37,142
18,174,1.1957851764482206e8,3.4705e7,6.438530537223509e7,5.1324633969678305e7,1652.031857573141,182,288,75977.79296245362,0.3,0.15,0.2,1.0,0.95,112,3,38,148
19,169,1.1965123451270507e8,3.427e7,6.414946859690084e7,5.097612693359097e7,1646.4105287016341,177,284,74853.04685359637,0.3,0.15,0.2,1.0,0.95,118,3,40,157
20,165,1.1997772106997873e8,3.3645e7,6.391271843875854e7,5.082905691760911e7,1643.0184037803717,170,281,74027.9454760907,0.3,0.15,0.2,1.0,0.95,123,3,42,167
21,161,1.2012161892227897e8,3.30795e7,6.367582216781211e7,5.055856411972034e7,1639.5541870519135,168,281,73126.93087965235,0.3,0.15,0.2,1.0,0.95,133,3,45,176
22,159,1.203189158161678e8,3.25305e7,6.343745982817623e7,5.015123838115268e7,1637.6504052161056,164,279,72856.39085220672,0.3,0.15,0.2,1.0,0.95,136,3,47,184
23,156,1.2046120717325476e8,3.20505e7,6.319757615559428e7,4.9928910907788254e7,1634.8025709232845,162,277,72147.63866737872,0.3,0.15,0.2,1.0,0.95,139,3,52,196
24,152,1.2080495336773156e8,3.1373e7,6.292324728202817e7,4.964928867388359e7,1630.235902187297,159,278,71421.76874743574,0.31,0.16,0.2,0.99,0.9299999999999999,144,3,54,202
25,149,1.2111693655803196e8,3.0738e7,6.266301249981787e7,4.9427004617631935e7,1626.789133460137,154,275,70916.44464761687,0.31,0.16,0.2,0.99,0.9299999999999999,146,3,56,207
26,148,1.2140341992547587e8,3.01295e7,6.24092854495632e7,4.928549974916858e7,1627.6413524829393,152,274,70470.20793027917,0.31,0.16,0.2,0.99,0.9299999999999999,149,3,57,209
27,145,1.2162850109603816e8,2.95835e7,6.2166444838972256e7,4.8964516300821394e7,1625.4579258556619,152,272,69315.03835220564,0.31,0.16,0.2,0.99,0.9299999999999999,152,3,60,216
28,205,1.2191665608343533e8,2.89735e7,6.192171885887519e7,4.863539688060804e7,1620.4019178163473,150,273,93581.27406101249,0.31,0.16,0.2,0.99,0.9299999999999999,158,3,62,227
29,170,1.2198761108788465e8,3.4590321544610865e7,6.1673154115507714e7,4.518056180446445e7,1629.3175289993544,209,272,81826.55416036368,0.31,0.16,0.2,0.99,0.9299999999999999,164,3,64,233
30,167,1.2191481576029582e8,3.526114121063333e7,6.143614815632064e7,4.442167651905952e7,1631.0612135483302,173,235,79402.50302508504,0.31,0.16,0.2,0.99,0.9299999999999999,167,3,66,239
31,162,1.218545996244554e8,3.533791249719799e7,6.119853455857015e7,4.371597875925645e7,1624.0122116545544,169,231,80752.29551269163,0.31,0.16,0.2,0.99,0.9299999999999999,174,3,67,244
32,153,1.2186464104351471e8,3.58566846922336e7,6.095850362937099e7,4.291289734462111e7,1618.9343563852808,163,223,78767.23867665697,0.31,0.16,0.2,0.99,0.9299999999999999,175,3,69,256
33,148,1.2183406367722313e8,3.5721532516094126e7,6.072108346808294e7,4.242899993190143e7,1614.7396409427777,158,217,78005.21019181222,0.31,0.16,0.2,0.99,0.9299999999999999,180,3,73,262
34,149,1.2187242051400924e8,3.567179159657429e7,6.0476536783600695e7,4.223505806681426e7,1612.6575975442236,148,210,79366.80037164199,0.31,0.16,0.2,0.99,0.9299999999999999,182,3,73,264
