-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1825,1805,1804,1855,1929,1863,1856,1885,1886,1867,1840,1874,
Cascais,2537,2762,2596,2591,2609,2608,2594,2621,2585,2620,2647,2604,
Lisboa,3033,3244,3186,3222,3095,3246,3105,3193,3164,3142,3138,3120,
Loures,1979,2001,2027,2031,2019,1997,1998,1985,2058,2036,2016,1974,
Mafra,1655,1707,1717,1590,1706,1735,1770,1598,1684,1781,1738,1830,
Odivelas,2072,2023,1952,1945,1949,1951,1907,1965,1906,1902,1939,1961,
Oeiras,2511,2496,2501,2470,2518,2383,2491,2431,2509,2557,2511,2427,
Sintra,1403,1316,1342,1383,1469,1472,1511,1470,1474,1473,1527,1492,
VilaFrancaDeXira,1488,1389,1439,1525,1458,1511,1533,1582,1597,1663,1556,1540,
Alcochete,1827,1669,1731,1688,1768,1620,1684,1707,1762,1656,1715,1608,
Almada,1904,1892,1910,1936,2017,1996,1958,1963,2036,1972,2020,2036,
Barreiro,1176,1170,1184,1186,1219,1253,1227,1320,1213,1299,1405,1244,
Moita,1054,1082,1043,1143,1069,1143,1187,1139,1167,1247,1110,1116,
Montijo,1434,1462,1369,1517,1518,1555,1494,1487,1518,1587,1570,1490,
Palmela,1320,1331,1337,1385,1455,1416,1463,1529,1543,1549,1531,1563,
Seixal,1503,1459,1486,1563,1578,1555,1551,1636,1623,1597,1574,1607,
Sesimbra,1470,1405,1372,1447,1559,1455,1524,1535,1582,1575,1523,1541,
Setubal,1434,1326,1342,1542,1541,1563,1570,1586,1582,1485,1635,1625,
