-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Amadora,407,428,421,408,409,390,366,388,348,375,386,371,368,391,375,358,339,366,429,335,335,319,326,305,384,356,397,382,402,372,355,408,374,421,363,429,406,469,456,474,
Cascais,260,204,265,258,282,319,290,341,346,331,340,346,350,347,345,302,318,340,349,293,307,338,372,296,298,298,333,297,269,272,292,343,285,242,268,306,282,314,310,329,
Lisboa,672,1075,1035,968,1019,983,975,938,1130,1209,1381,1238,1385,1279,1116,1215,1273,1358,1264,1222,1110,1275,1176,1012,1188,1165,1149,1132,1026,1175,1249,1141,1209,1220,1180,1208,1321,1187,1211,1160,
Loures,301,251,286,261,290,295,272,250,259,235,278,333,359,381,400,370,400,342,346,347,350,387,339,336,359,332,352,374,360,368,365,352,391,404,407,443,463,401,450,477,
Mafra,92,43,66,40,67,83,59,66,64,78,66,63,48,87,92,98,101,99,127,105,98,110,100,116,104,118,103,121,93,92,112,132,91,101,90,108,114,98,97,96,
Odivelas,226,239,211,271,301,315,340,309,362,354,353,281,329,352,345,305,351,359,356,312,335,346,306,319,332,336,352,345,353,358,395,395,444,426,435,399,412,452,452,405,
Oeiras,207,180,181,191,186,188,155,163,147,141,187,226,222,223,233,232,209,298,245,244,244,218,229,241,236,237,252,268,233,217,228,243,243,215,232,243,227,264,249,253,
Sintra,668,600,636,674,677,512,493,465,546,510,453,470,538,563,627,541,467,477,380,458,488,603,536,693,593,657,574,572,587,524,690,575,608,591,639,580,691,704,654,711,
VilaFrancaDeXira,264,141,200,182,148,144,161,139,123,195,128,150,131,177,145,181,188,179,136,144,147,182,143,137,199,209,196,189,206,212,196,183,211,184,186,212,182,170,163,177,
Alcochete,24,9,11,19,17,14,17,18,21,23,20,15,4,7,11,9,12,13,19,13,13,11,12,12,16,18,15,13,19,20,21,13,27,23,24,19,21,25,16,23,
Almada,306,259,279,262,319,300,333,258,311,287,273,268,310,319,322,352,353,286,292,322,289,255,312,250,242,266,251,259,259,248,294,330,298,290,325,312,359,294,309,417,
Barreiro,228,136,153,142,138,147,118,139,118,153,99,119,146,140,150,119,119,130,146,128,134,119,159,160,164,169,172,143,171,172,131,144,144,142,204,243,276,307,281,220,
Moita,166,80,111,81,83,77,79,99,68,85,65,86,112,111,77,89,97,81,98,98,88,80,84,80,87,109,135,132,103,100,134,128,110,141,188,260,270,287,212,183,
Montijo,106,79,72,74,77,61,69,71,43,72,81,68,67,72,95,89,82,92,86,102,83,82,82,75,78,78,68,103,101,75,77,87,92,82,89,96,90,80,85,81,
Palmela,89,46,38,22,38,29,38,23,27,28,33,38,15,29,49,68,75,74,72,55,61,66,71,116,114,105,103,99,106,93,71,74,71,76,82,86,77,97,67,77,
Seixal,327,201,262,251,273,184,192,184,235,235,197,201,238,244,277,271,298,297,263,281,219,218,235,212,192,206,224,247,284,252,216,229,260,217,237,216,251,196,206,235,
Sesimbra,47,21,32,26,14,20,18,14,16,24,20,18,17,15,25,32,39,35,34,29,40,31,31,32,49,76,74,63,74,64,64,54,56,61,55,52,50,45,38,39,
Setubal,271,180,179,209,161,173,222,196,181,147,144,225,170,173,220,251,196,224,189,228,185,226,198,250,232,280,284,276,287,238,219,227,210,221,222,200,231,213,234,262,
