-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Amadora,282,290,312,289,333,361,302,278,305,285,331,325,326,307,361,383,327,250,265,296,330,333,397,327,301,322,329,377,385,354,431,398,452,430,460,470,501,483,518,585,
Cascais,389,472,569,601,556,556,501,546,446,508,501,547,583,492,520,591,630,568,605,582,576,632,637,625,573,653,605,635,639,690,646,631,639,675,682,669,672,703,732,695,
Lisboa,1975,2357,2599,2770,2548,2544,2421,2454,2167,2642,2568,2264,2383,2350,2286,2209,2863,2420,2466,2527,2326,2209,2281,2474,2414,2413,2317,2237,2301,2391,2403,2508,2514,2457,2579,2484,2648,2679,2545,2572,
Loures,326,432,463,523,501,488,453,410,403,389,461,515,542,500,523,532,560,492,531,491,516,525,509,444,475,509,546,521,543,551,507,556,527,521,660,629,641,641,650,720,
Mafra,43,148,256,202,199,170,151,159,203,173,196,169,185,194,179,185,160,188,169,163,181,170,168,203,234,259,230,210,243,196,225,270,220,262,248,232,264,257,224,236,
Odivelas,216,338,457,589,572,488,550,560,480,495,529,523,638,493,535,551,674,619,563,580,525,528,500,456,490,474,475,400,407,420,424,451,506,483,511,526,498,567,530,517,
Oeiras,370,289,314,295,305,283,289,267,270,235,293,331,335,312,334,376,436,421,382,431,414,434,434,444,457,436,408,387,420,394,424,400,487,482,475,488,535,559,545,565,
Sintra,462,373,433,450,386,370,367,382,302,417,392,379,404,370,404,436,458,475,531,524,574,594,599,594,596,557,615,650,649,704,748,783,839,928,1041,1181,1247,1363,1236,1248,
VilaFrancaDeXira,72,169,140,154,145,127,97,117,95,95,125,117,108,83,96,81,99,136,143,145,149,186,122,201,208,185,225,169,168,226,217,261,272,295,277,345,376,446,481,477,
Alcochete,11,51,87,95,70,57,56,58,71,73,75,79,74,78,61,62,62,42,38,36,30,31,29,25,29,27,22,24,27,36,31,35,28,47,41,47,46,41,56,51,
Almada,133,305,337,382,346,328,313,296,341,298,310,262,280,287,284,275,286,324,316,363,404,427,388,396,383,404,391,362,395,401,388,414,464,455,467,532,478,484,507,537,
Barreiro,20,15,17,19,26,20,30,29,16,27,21,29,25,32,39,31,34,53,55,47,57,54,47,60,60,64,64,61,70,55,91,96,111,148,140,157,154,139,140,166,
Moita,16,31,26,19,21,24,29,23,15,33,22,27,15,21,26,32,41,54,39,47,54,56,68,55,52,59,63,58,66,77,98,107,122,96,115,141,174,158,170,148,
Montijo,37,105,161,128,118,88,94,95,114,107,95,117,109,105,103,82,81,69,74,75,56,89,95,68,103,128,131,141,125,125,124,150,156,163,178,185,178,155,182,158,
Palmela,69,102,108,81,91,92,83,93,69,97,91,82,74,83,90,97,80,100,103,127,131,165,185,192,211,222,236,186,165,205,165,196,206,190,187,212,191,177,189,185,
Seixal,112,333,482,406,311,307,290,277,275,295,331,334,302,281,254,237,207,205,225,224,207,203,209,229,274,247,251,248,243,254,289,343,357,355,387,366,392,394,414,414,
Sesimbra,29,85,73,52,73,56,50,49,58,56,61,59,66,58,45,39,67,60,88,85,103,128,189,170,182,191,204,191,179,200,185,213,184,203,219,271,283,262,198,220,
Setubal,92,172,149,132,123,124,130,123,120,124,128,112,146,124,104,103,135,189,173,200,223,207,242,225,248,233,241,237,230,282,311,333,366,364,392,439,402,397,354,322,
