-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Amadora,291,286,281,321,338,354,334,316,297,312,302,294,310,308,361,349,345,368,395,377,396,381,340,377,388,382,455,497,522,466,502,532,506,475,522,574,565,567,603,601,
Cascais,371,383,491,577,524,612,593,543,481,527,494,520,540,602,567,507,691,632,654,652,661,677,677,634,669,640,628,694,664,638,555,703,609,629,667,669,693,635,742,673,
Lisboa,1826,2272,2315,2625,2492,2531,2463,2497,2317,2493,2482,2333,2438,2433,2127,2143,2957,2545,2517,2334,2438,2385,2256,2382,2448,2419,2402,2500,2621,2536,2555,2442,2542,2347,2463,2531,2554,2482,2440,2552,
Loures,355,386,443,426,442,477,416,413,414,380,409,479,499,509,592,571,642,575,556,620,605,582,570,557,561,581,630,662,623,693,687,669,760,697,679,710,695,724,784,724,
Mafra,76,126,226,218,198,208,201,172,165,176,153,128,136,170,169,202,271,237,278,264,224,227,263,230,214,251,248,258,260,311,312,299,272,292,295,304,278,245,242,256,
Odivelas,264,271,432,628,613,580,581,563,446,496,538,496,583,576,485,480,541,488,523,463,446,497,457,445,431,430,452,448,520,462,572,526,558,556,576,578,598,603,624,620,
Oeiras,361,307,344,319,322,243,314,294,252,289,334,399,423,429,409,444,449,506,457,462,501,385,420,417,397,476,494,507,538,511,530,576,538,567,579,552,512,516,447,532,
Sintra,487,468,451,449,394,324,394,397,459,467,455,486,518,587,628,589,575,571,573,668,795,994,1141,1258,1128,1093,998,1075,1127,1072,1111,993,946,824,903,969,1098,1061,1131,1176,
VilaFrancaDeXira,63,162,131,136,111,104,118,96,77,115,81,104,110,145,190,188,223,206,171,141,170,205,234,280,317,400,456,469,457,398,352,346,412,323,300,266,220,213,234,235,
Alcochete,15,54,77,82,59,75,60,51,61,71,60,29,20,22,29,22,38,53,33,44,48,53,59,44,63,72,55,67,54,63,59,49,72,60,65,62,63,61,51,59,
Almada,114,306,392,369,314,331,327,258,279,278,265,267,251,353,388,416,516,442,484,411,362,419,404,382,373,429,452,483,500,563,598,603,549,549,524,553,561,532,584,621,
Barreiro,18,14,23,15,25,17,27,25,24,28,20,48,57,68,58,58,51,62,56,64,97,91,122,134,169,154,134,119,126,154,141,246,308,420,534,526,603,513,518,462,
Moita,24,20,23,27,24,21,29,18,15,17,27,43,60,65,57,51,59,49,44,49,55,87,103,136,147,139,147,107,123,119,199,239,353,465,526,536,536,559,526,489,
Montijo,37,108,161,105,96,99,96,93,85,90,82,67,47,83,97,103,114,147,125,167,122,141,142,155,149,151,181,179,175,183,189,183,178,179,215,174,206,169,197,174,
Palmela,64,119,123,82,92,71,88,65,78,85,60,80,83,124,165,214,211,203,177,178,212,231,291,312,323,314,293,215,212,178,186,162,177,135,127,156,133,136,181,186,
Seixal,103,298,461,411,294,275,275,270,283,251,184,208,171,192,232,311,350,343,380,352,347,316,333,292,350,331,394,435,423,448,439,461,423,402,420,446,398,402,391,465,
Sesimbra,37,90,82,54,64,70,66,54,80,58,39,58,74,89,133,126,145,147,156,123,132,145,205,291,379,335,282,235,207,166,167,164,141,134,161,165,139,117,144,146,
Setubal,104,182,183,157,128,125,142,139,128,121,111,148,144,230,234,303,284,298,258,265,275,343,425,500,583,555,561,444,405,268,264,260,227,247,216,224,228,272,292,289,
