-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Amadora,282,290,312,289,333,361,302,278,305,285,331,325,326,307,361,383,327,250,265,296,330,333,397,327,301,322,329,377,385,354,431,398,452,430,460,470,501,483,518,585,
Cascais,389,472,569,601,556,556,501,546,446,508,501,547,583,492,520,591,630,600,599,623,629,561,628,673,680,656,598,676,650,609,658,650,656,666,652,647,668,720,694,659,
Lisboa,1956,2297,2497,2575,2727,2547,2610,2753,2274,2393,2405,2216,2455,2372,2359,2263,2850,2403,2401,2374,2329,2322,2320,2175,2228,2236,2440,2373,2466,2630,2636,2481,2593,2285,2593,2431,2552,2521,2562,2629,
Loures,326,432,463,523,501,488,453,410,403,389,461,515,542,500,523,532,560,492,531,491,516,525,509,444,475,509,546,521,543,551,507,556,527,521,660,629,641,641,650,720,
Mafra,43,148,256,202,199,170,151,159,203,173,196,169,185,194,179,185,160,188,169,163,181,170,168,203,234,259,230,210,243,196,225,270,220,262,248,232,264,257,224,236,
Odivelas,216,338,457,589,572,488,550,560,480,495,529,523,638,493,535,551,674,619,563,580,525,528,500,456,490,474,475,400,407,420,424,451,506,483,511,526,498,567,530,517,
Oeiras,370,291,326,237,314,265,266,273,289,267,308,294,294,320,333,415,425,361,473,551,472,468,490,420,450,456,428,411,404,398,435,464,479,453,480,476,494,493,602,528,
Sintra,462,392,410,417,381,441,351,369,381,398,404,412,389,406,469,417,441,465,579,580,652,620,606,563,677,556,634,563,698,661,811,856,924,980,933,1087,1178,1197,1145,1193,
VilaFrancaDeXira,72,169,140,154,122,119,87,96,91,96,100,97,92,88,90,94,111,138,126,153,130,143,165,172,190,220,207,212,191,177,216,190,240,272,350,384,348,413,386,444,
Alcochete,11,51,87,95,70,57,56,58,71,73,75,79,74,78,61,62,62,42,38,36,30,31,29,25,29,27,22,24,27,36,31,35,28,47,41,47,46,41,56,51,
Almada,133,305,337,382,346,328,313,296,341,298,310,262,280,287,284,275,286,324,316,363,404,427,388,396,383,404,391,362,395,401,388,414,464,455,467,532,478,484,507,537,
Barreiro,20,15,17,20,23,18,26,21,23,25,31,27,27,31,28,34,39,45,51,50,62,58,70,70,56,55,83,65,62,71,99,98,117,117,147,140,143,152,154,169,
Moita,16,31,25,17,21,28,27,27,20,32,24,26,21,14,28,32,46,42,48,54,55,63,46,66,61,37,53,56,60,65,68,87,95,110,124,121,145,167,158,154,
Montijo,37,105,161,128,118,88,94,95,114,107,95,117,109,105,103,82,81,69,74,75,56,89,95,68,103,128,131,141,125,125,124,150,156,163,178,185,178,155,182,158,
Palmela,69,102,108,81,91,92,83,87,70,92,86,77,79,56,76,93,88,107,95,117,123,149,190,195,218,200,194,192,176,199,193,192,206,203,184,201,176,169,202,204,
Seixal,112,333,482,406,311,307,290,277,275,295,331,334,302,281,254,237,207,205,225,224,207,203,209,229,274,247,251,248,243,254,289,343,357,355,387,366,392,394,414,414,
Sesimbra,29,85,73,52,73,60,58,51,61,67,76,65,79,72,52,49,67,51,69,97,105,112,158,156,163,162,152,159,176,155,154,164,207,238,221,258,288,222,275,242,
Setubal,92,172,149,132,134,126,122,107,124,118,103,121,147,114,122,108,134,163,176,170,199,208,241,253,239,248,253,256,251,276,311,381,401,390,410,397,421,400,366,348,
