-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Amadora,212,179,220,232,191,192,147,172,204,186,210,222,249,199,233,192,225,207,201,189,202,253,201,199,261,201,247,227,273,291,302,310,324,368,389,373,336,389,349,374,
Cascais,309,378,458,463,475,370,475,460,410,470,413,426,505,503,411,435,562,540,502,512,454,554,550,494,506,503,464,541,584,579,507,543,571,644,558,655,592,612,630,610,
Lisboa,1859,2239,2226,2499,2042,1956,2080,2234,2096,2230,2119,2190,2277,2148,1929,2044,2730,2357,2199,2261,2250,2133,1940,2130,2237,2154,2250,2143,2005,2221,2265,2020,2254,2151,2200,2151,2293,2301,2357,2247,
Loures,288,349,336,314,351,351,322,297,311,314,336,335,336,311,285,374,422,353,378,415,443,437,429,421,451,423,451,410,439,455,496,444,514,464,531,515,558,521,603,535,
Mafra,63,138,190,201,192,182,142,160,189,162,184,186,170,151,163,172,146,133,150,138,161,153,190,188,170,194,199,173,198,158,192,207,220,250,227,248,265,238,237,227,
Odivelas,183,290,398,540,476,377,430,434,406,404,373,418,525,447,458,428,537,459,369,312,313,322,312,259,337,305,322,297,329,311,354,376,372,414,470,424,449,477,477,518,
Oeiras,313,204,217,218,216,222,212,211,171,231,206,268,220,259,270,251,314,345,327,285,357,361,374,400,347,377,362,347,373,339,364,364,385,364,393,394,398,425,407,413,
Sintra,315,229,266,213,238,254,244,291,254,223,246,264,259,275,285,320,326,398,375,373,445,463,447,426,429,431,472,520,528,566,612,604,697,735,877,953,1003,1003,1145,1102,
VilaFrancaDeXira,49,80,75,84,69,84,55,59,66,78,62,80,74,65,49,69,65,85,100,126,125,106,142,158,147,148,167,139,169,144,189,197,215,262,220,288,322,347,410,430,
Alcochete,10,45,88,78,56,51,55,62,59,57,67,64,60,68,49,56,55,27,28,33,24,33,26,19,12,28,37,29,15,21,40,41,31,50,45,41,46,53,39,49,
Almada,109,234,292,244,255,232,226,208,209,188,219,214,191,212,194,218,205,225,225,273,283,274,300,295,292,326,308,299,289,320,328,333,298,396,357,381,387,420,398,406,
Barreiro,20,14,15,19,23,17,18,26,12,27,21,25,26,30,40,24,39,49,36,54,38,48,50,47,49,50,66,54,66,63,68,96,85,72,127,109,134,126,125,128,
Moita,16,31,29,21,24,24,22,21,17,28,16,25,17,18,25,35,40,36,44,37,60,56,57,58,40,46,53,57,55,69,83,91,112,126,141,136,169,172,170,172,
Montijo,23,98,127,91,78,78,68,73,87,75,73,85,76,79,65,59,52,29,49,49,51,71,55,69,95,70,88,103,102,114,116,116,123,145,145,131,156,143,137,143,
Palmela,44,105,87,70,69,70,70,88,68,76,79,65,71,52,67,83,53,87,112,94,129,140,175,185,187,170,172,168,159,169,171,151,189,158,198,185,169,174,166,168,
Seixal,76,235,370,300,256,238,245,235,228,225,262,261,239,225,205,178,140,166,171,149,176,177,215,187,217,246,225,229,254,225,258,287,293,301,338,333,347,354,367,343,
Sesimbra,26,72,74,60,63,43,52,62,55,50,63,45,58,51,42,48,37,53,69,75,107,139,133,137,161,167,129,147,139,186,153,159,164,211,242,240,239,248,249,235,
Setubal,62,94,100,94,94,86,80,89,78,85,69,75,95,83,71,63,101,129,134,149,184,174,199,202,218,212,198,236,227,209,249,285,315,336,407,424,421,469,388,385,
