-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Amadora,282,261,308,255,299,305,267,267,291,307,318,329,324,277,342,303,336,314,323,292,292,300,361,327,361,318,352,350,361,352,408,428,512,529,475,475,552,521,555,544,
Cascais,389,472,569,616,500,552,630,580,445,506,485,570,590,550,542,525,656,649,641,603,654,576,647,706,670,576,577,599,592,651,638,648,687,702,719,628,644,664,705,683,
Lisboa,1975,2364,2557,2622,2547,2403,2642,2567,2342,2332,2394,2392,2407,2438,2262,2305,2853,2433,2410,2426,2296,2205,2315,2186,2448,2178,2378,2419,2464,2448,2474,2524,2589,2589,2465,2613,2536,2707,2417,2750,
Loures,326,432,446,496,460,429,462,398,412,444,432,413,515,542,524,429,481,511,445,415,485,485,436,478,500,490,507,594,545,588,648,602,607,563,641,651,626,731,769,777,
Mafra,43,148,256,202,199,170,151,159,203,173,175,179,160,172,194,178,150,162,153,191,164,151,170,192,219,237,219,226,196,196,242,273,268,278,288,263,280,272,286,260,
Odivelas,216,338,463,589,648,539,527,547,511,534,472,529,537,490,545,494,635,604,538,597,487,499,464,451,457,412,420,421,426,414,430,471,498,528,513,513,549,603,587,570,
Oeiras,370,293,274,288,302,281,312,302,271,269,268,325,332,381,388,340,367,387,419,419,453,457,454,461,388,409,418,442,365,391,428,411,486,553,508,548,572,540,533,544,
Sintra,462,373,426,419,378,387,355,367,379,370,424,387,351,401,395,418,494,534,562,488,596,565,583,620,600,611,640,612,762,739,846,856,920,935,1004,1055,1152,1223,1217,1262,
VilaFrancaDeXira,72,169,140,157,108,105,107,83,108,119,107,139,102,87,88,84,114,131,136,150,134,157,173,203,217,210,206,183,158,192,214,194,230,270,289,338,416,438,518,543,
Alcochete,11,51,87,95,70,57,56,58,71,73,75,79,74,76,59,58,58,66,41,30,25,38,40,32,22,27,24,24,31,26,34,34,29,48,46,46,40,46,52,52,
Almada,133,300,360,346,368,302,295,265,302,273,302,296,287,293,270,308,312,297,351,377,420,433,402,405,445,441,387,408,425,461,429,450,481,492,505,449,503,561,544,535,
Barreiro,20,15,17,19,26,16,23,23,21,26,24,24,32,31,43,34,36,52,45,50,61,62,50,56,69,44,66,55,64,82,90,102,118,107,134,150,157,186,163,134,
Moita,16,31,26,19,21,24,29,25,17,27,17,24,23,20,28,34,39,56,35,53,52,61,67,49,56,66,63,60,63,66,76,88,94,97,89,124,124,139,158,156,
Montijo,37,105,161,128,118,88,94,95,120,114,102,116,98,112,91,68,84,49,74,76,80,84,87,91,96,116,96,129,148,144,150,145,160,167,193,178,197,187,171,168,
Palmela,69,102,108,81,91,92,83,93,69,97,88,76,92,73,70,93,84,95,84,138,129,164,192,184,202,195,193,194,210,205,172,202,191,185,187,189,175,189,199,176,
Seixal,112,333,469,407,341,291,285,275,264,315,319,339,313,289,263,216,209,210,230,203,208,215,215,194,262,272,274,266,280,260,315,321,386,378,402,402,424,433,404,383,
Sesimbra,29,85,73,52,73,56,50,49,58,56,61,59,66,58,45,39,67,60,88,85,103,128,189,170,182,191,200,190,193,201,188,212,206,213,236,264,263,255,207,235,
Setubal,92,172,155,142,132,123,125,122,123,130,118,120,129,115,113,110,122,159,160,193,203,224,235,276,276,253,238,223,231,265,277,325,349,401,416,458,479,441,458,412,
