-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,1788,1751,1975,1886,1816,1710,1757,1931,2136,2120,
Cascais,2969,3018,2911,2910,2846,2807,2906,2643,3009,2828,
Lisboa,3483,3378,3135,3024,2882,2741,2636,2592,2575,2601,
Loures,1896,1813,1897,1860,1833,1930,1945,2047,2190,2106,
Mafra,1938,2119,2219,2219,2232,2243,2232,2281,2312,2285,
Odivelas,2098,2107,1959,2024,1795,1766,1714,1876,1973,2045,
Oeiras,2522,2627,2722,2728,2956,2904,2769,2739,3077,3101,
Sintra,1395,1555,1569,1594,1868,2023,1975,2107,2189,2230,
VilaFrancaDeXira,1327,1484,1725,1644,1929,1961,1983,2019,2064,2107,
Alcochete,1588,1750,1771,1752,1760,1704,1698,1852,1893,1900,
Almada,1932,1933,2128,2100,2152,2260,2283,2268,2295,2396,
Barreiro,1243,1286,1470,1559,1662,1707,1752,1810,1851,1870,
Moita,1036,1144,1246,1322,1398,1421,1464,1550,1576,1616,
Montijo,1402,1575,1627,1618,1656,1623,1694,1738,1779,1768,
Palmela,1311,1570,1695,1752,1825,1843,1867,1899,1903,1924,
Seixal,1469,1692,1756,1781,1787,1807,1830,1872,1887,1880,
Sesimbra,1527,1796,1924,1996,2127,2142,2221,2289,2240,2209,
Setubal,1421,1656,1751,1805,1932,1959,1977,2011,2047,2057,
