-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,1822,1765,1910,1919,2010,2006,2093,2181,2162,2153,
Cascais,2939,3046,2864,2767,2915,2893,2832,2591,2814,2471,
Lisboa,3468,3369,3115,3119,2879,2750,2721,2550,2561,2647,
Loures,1947,1921,1960,1997,2034,2026,2162,2255,2191,2144,
Mafra,1886,2109,2149,2160,2204,2273,2283,2225,2241,2276,
Odivelas,2054,2069,1865,1698,1672,1791,1858,1854,1915,1817,
Oeiras,2579,2641,2817,3091,3080,2982,2981,3224,3196,3047,
Sintra,1426,1531,1688,1867,2056,2188,2167,2178,2109,2179,
VilaFrancaDeXira,1338,1530,1574,1886,1938,1998,2100,2081,2002,2025,
Alcochete,1600,1755,1788,1794,1845,1925,1926,1892,1927,1899,
Almada,1838,2054,1906,2133,2382,2219,2358,2407,2362,2392,
Barreiro,1238,1300,1506,1628,1681,1733,1786,1821,1890,1886,
Moita,1036,1135,1288,1376,1399,1519,1571,1558,1605,1605,
Montijo,1413,1598,1644,1646,1723,1765,1769,1794,1790,1804,
Palmela,1285,1542,1640,1744,1767,1828,1857,1829,1846,1888,
Seixal,1477,1709,1750,1757,1822,1871,1882,1885,1900,1906,
Sesimbra,1522,1784,1857,2031,2072,2177,2195,2019,1978,2125,
Setubal,1398,1620,1728,1882,1911,2002,2017,1967,1887,1963,
