-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,1788,1751,1975,1886,1816,1710,1757,1931,2136,2120,
Cascais,2969,3018,2911,2910,2796,2720,2922,2680,2733,2754,
Lisboa,3454,3366,3160,3063,2880,2608,2623,2682,2621,2595,
Loures,1896,1813,1897,1860,1833,1930,1945,2047,2190,2106,
Mafra,1938,2119,2219,2219,2232,2243,2232,2281,2312,2285,
Odivelas,2098,2107,1959,2024,1795,1766,1714,1876,1973,2045,
Oeiras,2562,2712,2684,2726,3069,2974,2912,3032,3134,3065,
Sintra,1408,1577,1558,1604,1935,2026,2025,2102,2172,2221,
VilaFrancaDeXira,1327,1523,1709,1593,1899,1975,2046,2018,2032,2083,
Alcochete,1588,1750,1771,1752,1760,1704,1698,1852,1893,1900,
Almada,1932,1933,2128,2100,2152,2260,2283,2268,2295,2396,
Barreiro,1243,1296,1411,1561,1655,1712,1734,1798,1842,1878,
Moita,1036,1119,1247,1312,1389,1462,1504,1565,1604,1631,
Montijo,1402,1575,1627,1618,1656,1623,1694,1738,1779,1768,
Palmela,1311,1571,1693,1755,1824,1845,1865,1894,1912,1920,
Seixal,1469,1692,1756,1781,1787,1807,1830,1872,1887,1880,
Sesimbra,1527,1799,1893,1907,2076,2093,2155,2194,2237,2229,
Setubal,1421,1676,1746,1806,1937,1948,1983,2012,2039,2029,
