-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,1760,1644,1806,1838,1703,1616,1685,1813,1876,2026,
Cascais,2880,2900,2776,2675,2550,2560,2604,2619,2449,2601,
Lisboa,3396,3288,3023,3022,2793,2696,2624,2559,2573,2561,
Loures,1877,1800,1856,1837,1818,1854,1840,1967,1955,1970,
Mafra,1845,1961,2057,2033,2021,2034,2045,2105,2134,2111,
Odivelas,2060,2034,1901,1812,1687,1620,1675,1735,1819,1839,
Oeiras,2530,2610,2635,2719,2731,2777,2676,2665,2691,2732,
Sintra,1391,1445,1524,1540,1746,1906,1955,2068,2118,2146,
VilaFrancaDeXira,1238,1406,1607,1632,1849,1936,1947,1973,2081,2127,
Alcochete,1569,1692,1694,1692,1679,1702,1810,1846,1821,1793,
Almada,1778,1799,2027,2007,2032,2186,2131,2153,2286,2207,
Barreiro,1233,1296,1438,1545,1640,1702,1719,1780,1823,1875,
Moita,1032,1115,1234,1305,1385,1439,1489,1574,1621,1633,
Montijo,1369,1536,1592,1600,1568,1568,1634,1704,1743,1703,
Palmela,1293,1523,1654,1712,1775,1783,1817,1840,1858,1868,
Seixal,1423,1649,1724,1745,1758,1721,1783,1827,1846,1850,
Sesimbra,1463,1738,1836,1932,2030,2056,2107,2123,2220,2188,
Setubal,1320,1575,1670,1741,1875,1915,1931,1935,1971,1974,
