-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,1989,2286,2337,2281,2305,2349,2321,2410,2461,2467,
Cascais,3106,3138,3406,3070,3196,3131,3232,3181,3300,3270,
Lisboa,3508,3459,3284,3278,3140,2917,2840,2857,2788,2749,
Loures,2013,2005,2143,2256,2313,2341,2376,2459,2518,2482,
Mafra,1956,2167,2251,2303,2276,2293,2336,2401,2404,2416,
Odivelas,2231,2199,2139,2140,1973,1993,1886,2088,2288,2305,
Oeiras,2624,3001,3011,3116,3379,3536,3428,3317,3412,3501,
Sintra,1528,1806,1977,2025,2235,2334,2310,2352,2435,2477,
VilaFrancaDeXira,1495,1737,1841,1894,2101,2146,2149,2183,2254,2303,
Alcochete,1610,1784,1841,1842,1861,1824,1890,1962,1954,1987,
Almada,1989,2262,2424,2383,2514,2556,2571,2540,2619,2630,
Barreiro,1243,1297,1469,1569,1662,1739,1787,1844,1865,1857,
Moita,1030,1136,1254,1311,1412,1432,1444,1506,1572,1635,
Montijo,1424,1639,1686,1734,1756,1763,1810,1860,1888,1881,
Palmela,1322,1605,1732,1800,1874,1898,1930,1954,1981,1991,
Seixal,1508,1755,1839,1877,1896,1903,1930,1987,2003,2007,
Sesimbra,1531,1803,1950,2010,2163,2135,2212,2253,2298,2274,
Setubal,1459,1718,1822,1920,2034,2051,2071,2112,2178,2194,
