-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,1807,1748,1989,1902,1824,1788,1839,1965,2119,2079,
Cascais,2984,2965,2817,2723,2831,2816,2811,2667,2669,2757,
Lisboa,3468,3363,3105,3069,2845,2638,2667,2729,2573,2513,
Loures,1929,1819,1945,1932,1916,1963,1994,1997,2125,2101,
Mafra,1938,2119,2225,2253,2216,2251,2265,2339,2328,2304,
Odivelas,2106,2069,1983,1923,1859,1719,1791,1820,1942,1968,
Oeiras,2525,2661,2722,2796,3117,2993,2947,2737,3020,3104,
Sintra,1393,1549,1579,1633,1878,2015,1957,2136,2216,2333,
VilaFrancaDeXira,1317,1618,1638,1648,1898,1970,1973,1993,2056,2135,
Alcochete,1588,1750,1771,1742,1750,1619,1752,1881,1903,1878,
Almada,1868,2078,2228,2133,2194,2317,2290,2213,2371,2368,
Barreiro,1243,1295,1471,1538,1670,1682,1720,1776,1833,1855,
Moita,1036,1144,1253,1315,1419,1444,1491,1546,1597,1627,
Montijo,1402,1575,1611,1633,1614,1653,1709,1728,1749,1736,
Palmela,1311,1570,1695,1747,1811,1831,1858,1877,1895,1918,
Seixal,1465,1690,1758,1790,1808,1803,1829,1854,1881,1873,
Sesimbra,1527,1796,1924,1996,2127,2142,2227,2289,2227,2200,
Setubal,1413,1658,1745,1836,1934,1957,1988,2016,2038,2043,
