-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,1561,1469,1574,1630,1610,1615,1572,1621,1677,1742,
Cascais,2798,2798,2741,2766,2728,2737,2765,2518,2686,2593,
Lisboa,3400,3290,3054,2946,2816,2665,2596,2551,2521,2566,
Loures,1749,1663,1754,1762,1743,1820,1822,1828,1876,1822,
Mafra,1530,1636,1806,1845,1899,1934,1909,1965,1994,1997,
Odivelas,1881,1786,1768,1804,1713,1755,1696,1778,1798,1817,
Oeiras,2375,2485,2526,2514,2532,2563,2594,2584,2622,2607,
Sintra,1331,1418,1430,1437,1493,1502,1514,1537,1545,1575,
VilaFrancaDeXira,1112,1293,1378,1353,1413,1451,1533,1546,1533,1601,
Alcochete,1391,1419,1497,1537,1726,1703,1683,1778,1799,1645,
Almada,1680,1622,1748,1766,1843,1775,1852,1866,1851,1988,
Barreiro,1217,835,857,967,1050,1162,1115,1298,1660,1665,
Moita,1043,1092,802,925,891,893,913,1195,1122,1395,
Montijo,1217,1364,1439,1338,1540,1369,1401,1507,1486,1525,
Palmela,1136,1212,1242,1595,1251,1431,1478,1789,1706,1791,
Seixal,1188,1308,1484,1467,1523,1628,1653,1585,1578,1562,
Sesimbra,1263,1350,1467,1426,1571,1574,1502,1691,1685,1628,
Setubal,1109,1151,1289,1296,1700,1606,1723,1786,1817,1891,
