-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,1542,1491,1617,1659,1727,1700,1710,1721,1725,1762,
Cascais,2806,2823,2745,2673,2771,2786,2667,2412,2589,2331,
Lisboa,3384,3294,3005,2865,2732,2721,2688,2521,2521,2611,
Loures,1773,1754,1847,1801,1819,1825,1823,1837,1798,1819,
Mafra,1471,1684,1813,1807,1792,1916,1981,1911,1991,1976,
Odivelas,1877,1745,1737,1685,1664,1729,1743,1674,1660,1620,
Oeiras,2440,2433,2523,2522,2617,2685,2649,2744,2693,2655,
Sintra,1341,1406,1458,1454,1529,1579,1635,1622,1643,1725,
VilaFrancaDeXira,1161,1252,1317,1300,1312,1310,1473,1734,1738,1817,
Alcochete,1332,1463,1649,1776,1788,1844,1747,1761,1710,1666,
Almada,1637,1660,1739,1710,1805,1839,1827,1856,1925,1933,
Barreiro,1132,1108,861,1040,1195,1548,1567,1603,1682,1703,
Moita,1018,1101,920,863,1016,889,1397,1437,1377,1426,
Montijo,1171,1327,1401,1317,1486,1416,1498,1541,1595,1631,
Palmela,1054,1271,1190,1128,1488,1272,1690,1753,1800,1824,
Seixal,1164,1386,1467,1436,1500,1585,1544,1552,1562,1590,
Sesimbra,1285,1382,1543,1497,1563,1862,1533,1612,1866,1986,
Setubal,1089,1218,1215,1239,1551,1688,1703,1818,1770,1756,
