-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,1561,1469,1574,1630,1610,1615,1572,1621,1677,1742,
Cascais,2798,2798,2741,2766,2685,2664,2796,2509,2504,2500,
Lisboa,3380,3277,3082,2974,2803,2573,2572,2612,2559,2545,
Loures,1749,1663,1754,1762,1743,1820,1822,1828,1876,1822,
Mafra,1530,1636,1806,1845,1899,1934,1909,1965,1994,1997,
Odivelas,1881,1786,1768,1804,1713,1755,1696,1778,1798,1817,
Oeiras,2396,2500,2471,2552,2604,2598,2657,2726,2690,2636,
Sintra,1334,1425,1445,1445,1513,1512,1546,1539,1574,1588,
VilaFrancaDeXira,1112,1301,1279,1395,1484,1414,1534,1599,1514,1591,
Alcochete,1391,1419,1497,1537,1726,1703,1683,1778,1799,1645,
Almada,1680,1622,1748,1766,1843,1775,1852,1866,1851,1988,
Barreiro,1219,906,898,924,1044,1137,1482,1440,1644,1638,
Moita,1047,982,971,965,813,930,953,935,1264,1358,
Montijo,1217,1364,1439,1338,1540,1369,1401,1507,1486,1525,
Palmela,1136,1228,1276,1586,1249,1414,1405,1674,1772,1799,
Seixal,1188,1308,1484,1467,1523,1628,1653,1585,1578,1562,
Sesimbra,1263,1398,1419,1330,1505,1503,1699,1816,1620,1492,
Setubal,1109,1326,1329,1343,1648,1397,1706,1787,1747,1754,
