-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,1547,1397,1549,1597,1587,1547,1572,1591,1551,1596,
Cascais,2769,2735,2633,2552,2466,2516,2496,2470,2328,2378,
Lisboa,3343,3186,2944,2938,2705,2621,2573,2536,2531,2506,
Loures,1738,1612,1714,1699,1717,1735,1697,1787,1758,1757,
Mafra,1481,1533,1649,1724,1712,1760,1697,1736,1769,1755,
Odivelas,1883,1724,1675,1632,1613,1616,1661,1664,1666,1647,
Oeiras,2366,2441,2482,2495,2483,2489,2474,2504,2458,2443,
Sintra,1305,1339,1421,1427,1460,1475,1513,1534,1514,1560,
VilaFrancaDeXira,1072,1110,1190,1222,1238,1334,1447,1444,1444,1520,
Alcochete,1167,1377,1349,1484,1444,1699,1699,1557,1603,1522,
Almada,1574,1454,1646,1735,1751,1772,1729,1734,1772,1789,
Barreiro,820,843,873,946,952,1061,1083,1204,1582,1656,
Moita,937,1039,821,1117,831,946,809,956,1156,1396,
Montijo,1175,1227,1279,1368,1380,1356,1402,1329,1374,1418,
Palmela,1060,1165,1147,1523,1408,1207,1563,1406,1620,1607,
Seixal,1145,1245,1378,1467,1600,1464,1541,1527,1519,1532,
Sesimbra,1226,1344,1415,1493,1516,1493,1513,1525,1501,1640,
Setubal,986,1096,1087,1285,1408,1470,1254,1521,1630,1586,
