-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,1525,1628,1614,1777,1920,1903,1832,1869,1920,2096,
Cascais,2874,2860,3023,2869,2995,2945,3025,2918,2876,2868,
Lisboa,3431,3359,3208,3190,3009,2829,2768,2789,2702,2692,
Loures,1766,1757,1842,1920,1927,1943,1955,2011,2021,2052,
Mafra,1488,1683,1881,2069,2075,2010,2093,2119,2038,2127,
Odivelas,1898,1790,1790,1857,1852,1984,1877,1905,1928,1975,
Oeiras,2392,2654,2669,2656,2836,3015,2908,2795,2846,2953,
Sintra,1332,1456,1553,1577,1636,1733,1781,1802,1835,2006,
VilaFrancaDeXira,1077,1135,1242,1454,1403,1712,1857,1869,2053,2054,
Alcochete,1358,1669,1727,1762,1771,1821,1834,1885,1853,1844,
Almada,1634,1680,1827,1854,1990,1955,2066,2128,2245,2195,
Barreiro,1220,1093,1110,1097,1058,1187,1125,1216,1261,1659,
Moita,988,1104,897,805,882,903,944,953,1022,1361,
Montijo,1174,1468,1648,1660,1708,1750,1762,1692,1751,1723,
Palmela,1022,1579,1651,1711,1793,1795,1837,1902,1901,1932,
Seixal,1177,1673,1770,1830,1860,1869,1838,1851,1817,1802,
Sesimbra,1257,1417,1468,1454,1492,1511,1934,1646,1952,1956,
Setubal,1076,1375,1702,1747,1866,1858,1880,1970,2018,2045,
