-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,1546,1477,1626,1638,1650,1641,1679,1675,1683,1689,
Cascais,2811,2805,2698,2632,2728,2693,2693,2547,2508,2500,
Lisboa,3387,3268,3041,3000,2754,2587,2614,2685,2520,2464,
Loures,1766,1652,1797,1806,1808,1814,1844,1809,1853,1816,
Mafra,1530,1636,1775,1850,1898,1943,1965,2019,1977,1948,
Odivelas,1882,1795,1747,1721,1766,1711,1780,1749,1783,1759,
Oeiras,2360,2478,2554,2581,2611,2583,2690,2570,2628,2617,
Sintra,1330,1429,1452,1441,1530,1537,1542,1566,1556,1645,
VilaFrancaDeXira,1103,1282,1288,1400,1417,1431,1600,1559,1579,1668,
Alcochete,1391,1419,1497,1469,1673,1618,1680,1772,1683,1712,
Almada,1625,1678,1805,1788,1868,1860,1866,1873,1908,1934,
Barreiro,1217,852,907,1017,1101,1022,1216,1381,1638,1700,
Moita,1043,1092,940,914,1090,932,919,941,1315,1467,
Montijo,1217,1364,1310,1356,1471,1496,1489,1478,1437,1483,
Palmela,1136,1212,1290,1260,1398,1490,1450,1708,1633,1826,
Seixal,1182,1354,1481,1616,1667,1587,1595,1587,1575,1557,
Sesimbra,1263,1350,1467,1426,1571,1574,1500,1613,1582,1602,
Setubal,1068,1178,1233,1630,1577,1614,1571,1751,1744,1818,
