-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,2082,2310,2354,2362,2433,2476,2434,2407,2427,2441,
Cascais,3857,4003,3970,3901,3804,3633,3697,4030,3968,3940,
Lisboa,4495,4616,4580,4492,4398,4063,3705,3531,4031,3907,
Loures,2358,2530,2534,2551,2593,2597,2568,2554,2571,2589,
Mafra,2027,2252,2305,2363,2373,2362,2382,2426,2444,2421,
Odivelas,2456,2526,2543,2422,2387,2377,2710,2653,2620,2526,
Oeiras,3322,3656,3664,3669,3735,3733,3724,3679,3739,3713,
Sintra,1861,2085,2153,2253,2306,2300,2346,2387,2482,2554,
VilaFrancaDeXira,1559,1785,1864,1928,2051,2074,2105,2152,2122,2197,
Alcochete,1610,1778,1813,1827,1831,1788,2031,2002,1966,1977,
Almada,2165,2422,2480,2482,2532,2551,2568,2596,2595,2635,
Barreiro,1248,1308,1502,1591,1690,1735,1786,1834,1880,1899,
Moita,1036,1148,1272,1350,1442,1435,1476,1558,1592,1625,
Montijo,1437,1616,1672,1722,1744,1708,1786,1829,1862,1862,
Palmela,1347,1599,1717,1774,1849,1871,1906,1924,1943,1956,
Seixal,1513,1726,1787,1823,1871,1856,1886,1947,1951,1953,
Sesimbra,1598,1868,2000,2083,2196,2207,2294,2358,2294,2252,
Setubal,1481,1729,1828,1921,1974,1986,2017,2057,2078,2091,
