-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,2105,2350,2400,2474,2460,2377,2432,2457,2445,2452,
Cascais,3827,3916,3878,3706,3587,3993,4079,4033,4035,4147,
Lisboa,4554,4698,4615,4572,4182,3729,3581,4257,4022,4124,
Loures,2391,2590,2624,2667,2648,2633,2653,2640,2635,2630,
Mafra,2036,2228,2317,2287,2309,2440,2422,2354,2400,2504,
Odivelas,2477,2493,2474,2356,2654,2660,2636,2553,2501,2528,
Oeiras,3311,3556,3625,3609,3675,3691,3654,3684,3681,3695,
Sintra,1874,2081,2219,2215,2263,2354,2310,2405,2311,2351,
VilaFrancaDeXira,1551,1755,1864,1976,2007,2069,2140,2138,2070,2152,
Alcochete,1622,1794,1830,1877,1913,1967,1997,1981,1989,1988,
Almada,2152,2402,2460,2508,2540,2524,2582,2595,2614,2631,
Barreiro,1252,1321,1544,1673,1723,1757,1804,1845,1908,1915,
Moita,1036,1137,1309,1401,1410,1533,1583,1564,1609,1620,
Montijo,1444,1633,1698,1710,1764,1831,1828,1846,1867,1895,
Palmela,1322,1561,1673,1766,1788,1843,1873,1848,1873,1945,
Seixal,1520,1741,1803,1830,1863,1926,1944,1941,1979,1995,
Sesimbra,1604,1856,1957,2071,2114,2217,2258,2073,2044,2391,
Setubal,1481,1720,1863,1924,1945,2034,2060,2020,2005,2103,
