-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,2082,2310,2354,2362,2433,2476,2434,2407,2427,2441,
Cascais,3857,4003,3970,3901,3794,3577,3744,4013,4046,3984,
Lisboa,4496,4621,4575,4482,4320,3941,3702,3454,3806,3812,
Loures,2358,2530,2534,2551,2593,2597,2568,2554,2571,2589,
Mafra,2027,2252,2305,2363,2373,2362,2382,2426,2444,2421,
Odivelas,2456,2526,2543,2422,2387,2377,2710,2653,2620,2526,
Oeiras,3322,3680,3681,3717,3784,3729,3768,3682,3762,3744,
Sintra,1863,2091,2150,2247,2275,2324,2383,2372,2454,2517,
VilaFrancaDeXira,1559,1771,1856,1917,2036,2065,2135,2184,2202,2197,
Alcochete,1610,1778,1813,1827,1831,1788,2031,2002,1966,1977,
Almada,2165,2422,2480,2482,2532,2551,2568,2596,2595,2635,
Barreiro,1250,1307,1484,1584,1690,1743,1789,1835,1871,1908,
Moita,1036,1131,1273,1349,1417,1488,1512,1583,1616,1640,
Montijo,1437,1616,1672,1722,1744,1708,1786,1829,1862,1862,
Palmela,1347,1599,1721,1776,1852,1870,1892,1920,1942,1954,
Seixal,1513,1726,1787,1823,1871,1856,1886,1947,1951,1953,
Sesimbra,1598,1872,1992,2068,2172,2174,2206,2246,2288,2292,
Setubal,1481,1733,1829,1915,1986,1989,2006,2051,2079,2088,
