-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,2012,2245,2289,2307,2349,2381,2395,2374,2387,2405,
Cascais,3706,3703,3679,3613,3444,3402,3660,4021,4047,3738,
Lisboa,4362,4412,4369,4253,4178,3928,3586,3281,3935,4012,
Loures,2271,2461,2460,2465,2470,2482,2517,2496,2522,2515,
Mafra,1987,2170,2252,2305,2272,2191,2235,2361,2398,2326,
Odivelas,2356,2373,2365,2278,2285,2299,2665,2670,2526,2356,
Oeiras,3253,3613,3585,3596,3615,3581,3566,3613,3653,3650,
Sintra,1810,2027,2113,2214,2270,2307,2366,2330,2302,2315,
VilaFrancaDeXira,1510,1703,1796,1887,1990,1999,2030,2084,2192,2278,
Alcochete,1597,1733,1786,1767,1793,1789,1912,1952,1939,1911,
Almada,2078,2300,2381,2376,2413,2431,2466,2505,2533,2502,
Barreiro,1243,1304,1479,1570,1669,1739,1749,1803,1848,1902,
Moita,1034,1124,1262,1328,1410,1460,1505,1587,1635,1647,
Montijo,1409,1583,1637,1680,1723,1652,1750,1813,1822,1821,
Palmela,1329,1555,1673,1735,1797,1812,1848,1871,1906,1911,
Seixal,1484,1683,1754,1790,1829,1802,1848,1907,1922,1937,
Sesimbra,1570,1810,1959,2036,2165,2144,2225,2243,2315,2310,
Setubal,1441,1663,1767,1852,1912,1958,2008,1996,2010,2009,
